ENSMUSG00000018574	P50544	SUBUNIT: Homodimer. {ECO:0000250}.
ENSMUSG00000039615	Q9WUD1	SUBUNIT: Homodimer. Interacts with BAG2, and with the E2 ubiquitin conjugating enzymes UBE2D1, UBE2D2 and UBE2D3. Interacts (via TPR repeats) with the C-terminal domains of HSPA8 and HSPA1A. Detected in a ternary complex containing STUB1, HSPA1A and HSPBP1. Interacts with MKKS. Interacts with DYX1C1 and POLB. Interacts (via the U-box domain) with the UBE2V2-UBE2N heterodimer; the complex has a specific 'Lys-63'-linked polyubiquitination activity. Interacts (when monoubiquitinated) with ATXN3. Interacts with UBE2W. Interacts with DNAJB6. Interacts with FOXP3. {ECO:0000250|UniProtKB:Q9UNE7, ECO:0000269|PubMed:16307917, ECO:0000269|PubMed:21855799, ECO:0000269|PubMed:23973223}.
ENSMUSG00000027536	Q9D7F7	SUBUNIT: Probable core component of the endosomal sorting required for transport complex III (ESCRT-III). ESCRT-III components are thought to multimerize to form a flat lattice on the perimeter membrane of the endosome. Several assembly forms of ESCRT-III may exist that interact and act sequentally. Self-associates. Interacts with CHMP2A. Interacts with CHMP4A. Interacts with CHMP4B. Interacts with CHMP6. Interacts with VPS4A. Interacts with PDCD6IP; the interaction is direct (By similarity). {ECO:0000250|UniProtKB:Q96CF2}.
ENSMUSG00000008393	Q9CR86	SUBUNIT: Homodimer. Interacts with STYX (By similarity). {ECO:0000250}.
ENSMUSG00000033350	Q80WV3	SUBUNIT: Homodimer; disulfide-linked. Homodimerization is not essential for enzyme activity (By similarity). {ECO:0000250}.
ENSMUSG00000007041	Q9Z1Q5	SUBUNIT: Monomer. Homodimer (in vitro). Interacts with TRAPPC2. Dimerization requires a conformation change that leads to the exposure of a large hydrophobic surface. In vivo, this may lead to membrane insertion. Interacts with AKAP9 (By similarity). {ECO:0000250}.
ENSMUSG00000030930	Q91XQ5	SUBUNIT: Homodimer; disulfide-linked (Potential). The relevance of homodimerization is however unsure. May interact with phosphorylated proteins in resting B-cells, including HCK (By similarity). {ECO:0000250, ECO:0000305}.
ENSMUSG00000005683	Q9CZU6	SUBUNIT: Homodimer. {ECO:0000250}.
ENSMUSG00000051159	P97769	SUBUNIT: Homodimer. Binds to RBM14. Interacts (via N-terminus) with HSPA8; the interaction suppresses the association of CITED1 with p300/CBP and SMAD-mediated transcription transactivation. Interacts (via C-terminus) with TOX3 (via HGM box); the interaction increases estrogen-response element (ERE)-dependent transcription and protection against cell death. Interacts with ESR1; the interaction occurs in a estrogen-dependent manner (By similarity). Interacts (unphosphorylated form preferentially and via C-terminus) with EP300. Interacts (via C-terminus) with CREBBP. Interacts with EGR2. {ECO:0000250, ECO:0000269|PubMed:10722728, ECO:0000269|PubMed:17938205}.
ENSMUSG00000000318	P49300	SUBUNIT: Homooligomer. Interacts with SIGLEC1, which may act as a counter-receptor for CLEC10A in lymph node. {ECO:0000269|PubMed:15364954}.
ENSMUSG00000030157	Q91V08	SUBUNIT: Homodimer or heterodimer; disulfide-linked. {ECO:0000250}.
ENSMUSG00000006782	P16330	SUBUNIT: Exists as monomers and homodimers. {ECO:0000269|PubMed:22393399}.
ENSMUSG00000024644	Q9D1A2	SUBUNIT: Homodimer. {ECO:0000250|UniProtKB:Q96KP4}.
ENSMUSG00000039462	Q05306	SUBUNIT: Homotrimer.
ENSMUSG00000028179	Q8VCN5	SUBUNIT: Homotetramer (By similarity). Interacts with CALM in a calcium-dependent manner. {ECO:0000250, ECO:0000269|PubMed:18948540}.
ENSMUSG00000029359	Q9JKL5	SUBUNIT: Interacts with SLC9A1/NHE1 (via juxtamembrane region of the cytoplasmic C-terminus); the interaction enable an optimal Na(+)/H(+) exchange activity (By similarity). Monomer. Homodimer; disulfide-linked. {ECO:0000250}.
ENSMUSG00000021276	Q9D0V8	SUBUNIT: Homodimer. Interacts with CDK2 and CDC7. Interacts with the components of the replication complex, MCM2, MCM3, MCM4, MCM5, MCM6, MCM7 and with ORC2-containing complexes (By similarity). Interacts with ATRIP (By similarity). Interacts with CEP152 (By similarity). {ECO:0000250}.
ENSMUSG00000047230	O88552	SUBUNIT: Can form homo- and heteropolymers with other CLDN. Homopolymers interact with CLDN3, but not CLDN1, homopolymers. Directly interacts with TJP1/ZO-1, TJP2/ZO-2 and TJP3/ZO-3. {ECO:0000269|PubMed:10562289, ECO:0000269|PubMed:10601346}.
ENSMUSG00000022617	O55229	SUBUNIT: Homodimer, and heterodimer with CHKA. {ECO:0000269|PubMed:16490392}.
ENSMUSG00000000743	Q921W0	SUBUNIT: Probable peripherally associated component of the endosomal sorting required for transport complex III (ESCRT-III). ESCRT-III components are thought to multimerize to form a flat lattice on the perimeter membrane of the endosome. Several assembly forms of ESCRT-III may exist that interact and act sequentally. Self-associates. Interacts with CHMP1B. Interacts with VPS4A. Interacts with VPS4B. Interacts with PHF1. Interacts with IST1. Interacts with MITD1 (By similarity). {ECO:0000250}.
ENSMUSG00000028044	P61025	SUBUNIT: Forms a homohexamer that can probably bind six kinase subunits. {ECO:0000250}.
ENSMUSG00000079293	Q6QLQ4	SUBUNIT: Homodimer (Probable). Interacts with SYK; participates in leukocyte activation in presence of fungal pathogens. {ECO:0000269|PubMed:15845454, ECO:0000269|PubMed:17473009, ECO:0000305}.
ENSMUSG00000015357	Q9JHS4	SUBUNIT: Homohexamer that forms a ring structure; this hexamerization requires ATP binding. Component of the Clp complex formed by the assembly of two CLPP heptameric rings with two CLPX hexameric rings, giving rise to a symmetrical structure with two central CLPP rings flanked by a CLPX ring at either end of the complex (PubMed:22710082). Interacts with TFAM (By similarity). {ECO:0000250|UniProtKB:O76031, ECO:0000269|PubMed:22710082}.
ENSMUSG00000022483	P28481	SUBUNIT: Homotrimers of alpha 1(II) chains.
ENSMUSG00000041238	Q80YR6	SUBUNIT: Homodimer; dimerizes via the coiled coil domain. Interacts (via the PXDLS motif) with CTBP1. Component of the BRCA1-RBBBP8 complex. Interacts (the Ser-326 phosphorylated form) with BRCA1 (via the C-terminal BRCA1 domains): the interaction occurs in the G2 phase, ubiquitinates RBBP8 and involves RBBP8 in BRCA1-dependent G2/M checkpoint control on DNA damage. Interacts with RB1. Interacts with the MRN complex. Interacts directly with MRE11A; the interaction is required for efficient homologous recombination (HR) and regulation of the MRN complex. Interacts directly with RAD50. Interacts directly with NBN. Interacts with SIRT6; the interaction deacetylates RBBP8 upon DNA damage. Interacts with LM04 (via the LIM zinc-binding 1 domain). Interacts with SIAH1. Interacts with RNF138. Interacts with EXD2 (By similarity). {ECO:0000250|UniProtKB:Q99708}.
ENSMUSG00000037710	Q91WS0	SUBUNIT: Homodimer. {ECO:0000250}.
ENSMUSG00000062248	P56390	SUBUNIT: Forms a homohexamer that can probably bind six kinase subunits.
ENSMUSG00000030159	Q9JL99	SUBUNIT: Homodimer. Interacts (via cytoplasmic domain) with RACK1; promotes CLEC1B ubiquitination and proteasome-mediated degradation. Interacts (dimer) with SYK (via SH2 domains) (By similarity). {ECO:0000250}.
ENSMUSG00000029862	Q64347	SUBUNIT: Homodimer. {ECO:0000250|UniProtKB:P35523}.
ENSMUSG00000022512	O88551	SUBUNIT: Can form homo- and heteropolymers with other CLDN. Homopolymers interact with CLDN3, but not CLDN2, homopolymers. Directly interacts with TJP1/ZO-1, TJP2/ZO-2 and TJP3/ZO-3. Interacts with MPDZ and INADL. {ECO:0000269|PubMed:10508613, ECO:0000269|PubMed:10562289, ECO:0000269|PubMed:10601346, ECO:0000269|PubMed:11489913, ECO:0000269|PubMed:12021270}.
ENSMUSG00000051355	Q8K4M5	SUBUNIT: Monomer, homodimer. Can form heterodimers with other COMM domain-containing proteins but only certain combinations may exist in vivo. Interacts (via COMM domain) with COMMD2, COMMD3, COMMD4, COMMD5, COMMD6, COMMD7, COMMD8 and COMMD10 (via COMM domain). Identified in a complex with an E3 ubiquitin ligase complex composed of TCEB1/elongin C, CUL2, SOCS1 and RBX1; in the complex interacts directly with SOCS1 and CUL2. Interacts directly with ATP7B (via the N-terminal region). Interacts with CCS, CDKN2A, RELA, REL, RELB, NFKB1/p105, NFKB2/p100, NFKBIB, SCNN1D, SCNN1B, CFTR, CLU, SGK1, AKT1, CUL1, CUL2, CUL3, CUL4A, CUL4B, CUL5, CUL7, HIF1A. Identified in a complex with NF-kappa-B. Interacts directly with SLC12A2. Interacts with CCDC22, CCDC93 and C16orf62 homolog; proposed to be a component of the CCC (COMMD/CCDC22/CCDC93) complex which contains at least COMMD1 (and possibly other COMM domain-containing proteins), CCDC22, CCDC93 and C16orf62 homolog. {ECO:0000250|UniProtKB:Q8N668}.
ENSMUSG00000024835	Q9WUM3	SUBUNIT: Forms homooligomers, but does not form complexes with the other coronins. Interacts with Arp2/3 complex components, including ACTR2, ARPC1B and ARPC2. Binds actin (By similarity). {ECO:0000250}.
ENSMUSG00000097771	Q9WUM3	SUBUNIT: Forms homooligomers, but does not form complexes with the other coronins. Interacts with Arp2/3 complex components, including ACTR2, ARPC1B and ARPC2. Binds actin (By similarity). {ECO:0000250}.
ENSMUSG00000001739	Q9Z0S5	SUBUNIT: Can form linear homooligomers in the membrane, giving rise to tight junction strand-like structures. {ECO:0000269|PubMed:24744376}.
ENSMUSG00000022037	Q06890	SUBUNIT: Antiparallel disulfide-linked heterodimer of an alpha chain and a beta chain. Self-associates and forms higher oligomers. Interacts with a broad range of misfolded proteins, including APP, APOC2 and LYZ. Slightly acidic pH promotes interaction with misfolded proteins. Forms high-molecular weight oligomers upon interaction with misfolded proteins. Interacts with APOA1, LRP2, CLUAP1 AND PON1. Interacts with the complement complex. Interacts with SYVN1, COMMD1, BTRC, CUL1 and with ubiquitin and SCF (SKP1-CUL1-F-box protein) E3 ubiquitin-protein ligase complexes. Interacts (via alpha chain) with BAX in stressed cells, where BAX undergoes a conformation change leading to association with the mitochondrial membrane. Does not interact with BAX in unstressed cells (By similarity). Interacts (via alpha chain) with XRCC6. Found in a complex with LTF, CLU, EPPIN and SEMG1 (By similarity). {ECO:0000250}.
ENSMUSG00000021773	Q8BIG7	SUBUNIT: Homodimer. {ECO:0000250}.
ENSMUSG00000025650	Q63870	SUBUNIT: Homotrimer. Interacts with MIA3/TANGO1; facilitating its loading into transport carriers and subsequent secretion (By similarity). {ECO:0000250}.
ENSMUSG00000056174	P25318	SUBUNIT: Homotrimers, or heterotrimers in association with alpha 2(VIII) type collagens. Four homotrimers can form a tetrhedron stabilized by central interacting C-terminal NC1 trimers (By similarity). {ECO:0000250}.
ENSMUSG00000040690	Q8BLX7	SUBUNIT: Homotrimer. Interacts with FBN1, fibronectin and integrins ITGA1/ITGB1 and ITGA2/ITGB1. Integrin ITGA1/ITGB1 binds to a unique site within COL16A1 located close to its C-terminal end between collagenous domains COL1-COL3 (By similarity). {ECO:0000250|UniProtKB:Q07092}.
ENSMUSG00000058897	Q99MQ5	SUBUNIT: Forms homodimers and homotrimers. Binds to the fibrillized forms of beta amyloid peptide 40 (beta-APP40) and beta amyloid peptide 42 (beta-APP42). Found associated with beta-APP42 more frequently than with beta-APP40 (By similarity). {ECO:0000250|UniProtKB:Q9BXS0}.
ENSMUSG00000010476	O08791	SUBUNIT: Forms either a homodimer or a heterodimer with a related family member.
ENSMUSG00000038241	Q60952	SUBUNIT: Monomer and homodimer (Probable). Forms a complex in vitro with both NEK2 kinase and the PPP1CC catalytic subunit of protein phosphatase 1 (PP1). Interacts with CEP135 (By similarity). Interacts with CROCC/rootletin. Interacts with CNTLN (By similarity). {ECO:0000250|UniProtKB:Q9BV73, ECO:0000269|PubMed:16339073, ECO:0000305}.
ENSMUSG00000025991	Q8C196	SUBUNIT: Can form homooligomers (monomers as predominant form and dimers). {ECO:0000250|UniProtKB:P31327}.
ENSMUSG00000025064	Q07563	SUBUNIT: Homotrimers of alpha 1(XVII)chains. Interacts (via cytoplasmic region) with ITGB4 (via cytoplasmic region). Interacts (via cytoplasmic region) with DST (via N-terminus). Interacts (via N-terminus) with PLEC. Interacts (via cytoplasmic region) with DSP (By similarity). {ECO:0000250}.
ENSMUSG00000075486	Q3V4B5	SUBUNIT: Homodimer. Interacts (via COMM domain) with COMMD1 (via COMM domain). Does not interact with NFKBIB. Interacts with RELA, RELB, NFKB1/p105. Does not interact with NFKBIB. Interacts with CCDC22, CCDC93, SCNN1B, CUL4A. {ECO:0000250|UniProtKB:Q7Z4G1}.
ENSMUSG00000063564	Q8K4G2	SUBUNIT: Homotrimer. {ECO:0000250}.
ENSMUSG00000031754	Q9CQF3	SUBUNIT: Homodimer. Component of the cleavage factor Im (CFIm) complex, composed of, at least, NUDT21/CPSF5 and CPSF6 or CPSF7. Within the cleavage factor Im complex, the NUDT21/CPSF5 homodimer is at the core of a heterotetramer, and is clasped by two additional subunits (CPSF6 or CPSF7). Interacts with CPSF6, CPSF7, PABPN1 and SNRNP70. Interacts with PAPOLA; the interaction is diminished by acetylation (By similarity). {ECO:0000250}.
ENSMUSG00000029343	Q9WVJ5	SUBUNIT: Homo/heterodimer, or complexes of higher-order. The structure of beta-crystallin oligomers seems to be stabilized through interactions between the N-terminal arms.
ENSMUSG00000042240	P62696	SUBUNIT: Homo/heterodimer, or complexes of higher-order. The structure of beta-crystallin oligomers seems to be stabilized through interactions between the N-terminal arms (By similarity). {ECO:0000250}.
ENSMUSG00000068196	Q00780	SUBUNIT: Homotrimers, or heterotrimers in association with alpha 2(VIII) type collagens. Four homotrimers can form a tetrhedron stabilized by central interacting C-terminal NC1 trimers (By similarity). {ECO:0000250}.
ENSMUSG00000063849	Q8BZB2	SUBUNIT: Homotrimer. {ECO:0000305}.
ENSMUSG00000057098	Q07802	SUBUNIT: Interacts with ZNF423 and ZNF521, leading to prevent EBF1 to bind DNA and activate target genes (By similarity). Forms either a homodimer or a heterodimer with a related family member. {ECO:0000250, ECO:0000269|PubMed:20876732, ECO:0000269|PubMed:9151732}.
ENSMUSG00000022371	Q80X19	SUBUNIT: Homotrimer. {ECO:0000250|UniProtKB:P32018}.
ENSMUSG00000004415	Q91VF6	SUBUNIT: Homotrimer or heterotrimer.
ENSMUSG00000024900	P97742	SUBUNIT: Homohexamer and homotrimer. Identified in a complex that contains at least CPT1A, ACSL1 and VDAC1. Also identified in complexes with ACSL1 and VDAC2 and VDAC3 (By similarity). {ECO:0000250}.
ENSMUSG00000014599	P07141	SUBUNIT: Homodimer or heterodimer; disulfide-linked. Interacts with CSF1R. {ECO:0000269|PubMed:19017797}.
ENSMUSG00000020953	Q62507	SUBUNIT: Monomer. May form homodimer. Interacts with type II collagen. Interacts with SLC44A2. Interacts with ANXA2. {ECO:0000250|UniProtKB:O43405}.
ENSMUSG00000057606	O35348	SUBUNIT: Homotrimer. Component of the asymmetric form of AChE, a disulfide-bonded oligomer composed of the collagenic subunits (Q) and a variable number of asymmetric catalytic subunits (T). The N-terminal of a collagenic subunit (Q) associates with the C-terminal of a catalytic subunit (T) (By similarity). {ECO:0000250}.
ENSMUSG00000004530	Q9WUM4	SUBUNIT: Homotrimer. Binds F-actin (By similarity). {ECO:0000250}.
ENSMUSG00000039781	Q62036	SUBUNIT: Self-associates (By similarity). Associates with the centriolar satellite BBSome protein complex (PubMed:24550735) Interacts with BBS4; the interaction limits BBS4 availability for association with the BBSome complex, and hence negatively regulates ciliary localization of the BBSome complex. Interacts with MIB1. Interacts with PCM1; the interaction increases in response to ultraviolet light (UV) radiation. Associates with microtubule; association to microtubule is reduced in response to cellular stress, such as UV stimulation, in a process that requires p38 MAP kinase signaling. Interacts with CEP290, DCTN1, MAP1LC3B, PCNT, PCM1 and CEP152 (By similarity). Interacts with 14-3-3 proteins following UV-induced phosphorylation by MAPKAPK2; this inhibits formation of novel centriolar satellites (By similarity). {ECO:0000250|UniProtKB:Q9UPN4, ECO:0000269|PubMed:24550735}.
ENSMUSG00000040713	O88668	SUBUNIT: Homodimer. Interacts with IGF2R; the interaction is dependent on glycosylation (By similarity). {ECO:0000250}.
ENSMUSG00000037942	P14847	SUBUNIT: Homopentamer. Pentaxin (or pentraxin) have a discoid arrangement of 5 non-covalently bound subunits. Interacts with FCN1; may regulate monocyte activation by FCN1 (By similarity). {ECO:0000250}.
ENSMUSG00000023044	Q9DBE0	SUBUNIT: Homodimer. {ECO:0000250}.
ENSMUSG00000022053	O08792	SUBUNIT: Forms either a homodimer or a heterodimer with a related family member. {ECO:0000269|PubMed:9151732}.
ENSMUSG00000053552	Q8K4J2	SUBUNIT: Forms either a homodimer or a heterodimer with a related family member.
ENSMUSG00000074643	Q8C166	SUBUNIT: Homodimer; homodimerizes via its C2 domains. Interacts with p65/RELA (via N-terminus); this interaction induces proteolytic cleavage of p65/RELA subunit and inhibition of NF-kappa-B transcriptional activity. Interacts (via VWFA domain) with ACTB, CCDC22, MYCBP2, PPP5C, RDX and UBE2O. {ECO:0000250|UniProtKB:Q99829}.
ENSMUSG00000021947	Q99KP3	SUBUNIT: Homodimer. {ECO:0000250}.
ENSMUSG00000030905	O54983	SUBUNIT: Homodimer. {ECO:0000250}.
ENSMUSG00000027176	Q99LI7	SUBUNIT: Homodimer. The CSTF complex is composed of CSTF1 (50 kDa subunit), CSTF2 (64 kDa subunit) and CSTF3 (77 kDa subunit). CSTF3 directly interacts with CSTF1 and CSTF2. Interacts with FIP1L1 (By similarity). {ECO:0000250}.
ENSMUSG00000037373	O88712	SUBUNIT: Homo- or heterodimer. Heterodimer with CTBP2. Interacts with ELK3 (via its PXDLS motif). Interacts with RBBP8 (via its PXDLS motif). Interacts with PNN, MECOM, ZNF366 and ZFHX1B. Interaction with SATB1 (non-acetylated form); the interaction stabilizes its attachment to DNA and promotes transcription repression. Interacts with PRDM16; the interaction represses white adipose tissue (WAT)-specific genes expression. Interacts with GLIS2, HIPK2, FOXP1, FOXP2, HDAC4, HDAC5, HDAC9, NRIP1, WIZ and ZNF217. Interacts with BCL6; the interaction is required for BCL6 transcriptional autoinhibition and inhibition of some BCL6 target genes. Interacts with IKZF4. Interacts with FAM195B (unphosphorylated form, via the PXDLS motif); competitively inhibiting CTBP-ZEB1 interaction (By similarity). {ECO:0000250|UniProtKB:Q13363, ECO:0000269|PubMed:11022042, ECO:0000269|PubMed:14567915, ECO:0000269|PubMed:14701752, ECO:0000269|PubMed:14736873, ECO:0000269|PubMed:16326862, ECO:0000269|PubMed:16702210, ECO:0000269|PubMed:18483224, ECO:0000269|PubMed:19103759, ECO:0000269|PubMed:19696312}.
ENSMUSG00000033323	Q7TSG2	SUBUNIT: Homodimer. Interacts with GTF2F1 (By similarity). Interacts with WDR77, SNRPB and SNRNP70 (By similarity). {ECO:0000250}.
ENSMUSG00000066150	Q8K211	SUBUNIT: Homotrimer. {ECO:0000250}.
ENSMUSG00000031782	Q8K1Z0	SUBUNIT: Homodimer. Interacts with COQ7. {ECO:0000250|UniProtKB:O75208}.
ENSMUSG00000068794	Q2UY11	SUBUNIT: Trimer or homomer. Secreted into as a 135 kDa monomer under reducing conditions and as a homotrimer under non-reducing conditions. {ECO:0000269|PubMed:16330543}.
ENSMUSG00000006546	Q9JJV1	SUBUNIT: Homo/heterodimer, or complexes of higher-order. The structure of beta-crystallin oligomers seems to be stabilized through interactions between the N-terminal arms (By similarity). {ECO:0000250}.
ENSMUSG00000066975	Q9JJV0	SUBUNIT: Homo/heterodimer, or complexes of higher-order. The structure of beta-crystallin oligomers seems to be stabilized through interactions between the N-terminal arms (By similarity). {ECO:0000250}.
ENSMUSG00000028859	P40223	SUBUNIT: Homodimer. The dimeric receptor binds two CSF3 molecules. {ECO:0000269|PubMed:10537111}.
ENSMUSG00000030670	Q6VVW9	SUBUNIT: Homodimer. {ECO:0000250}.
ENSMUSG00000035041	Q91XE9	SUBUNIT: Binds DNA as a dimer. Probably homodimerizes. Probably forms a heterodimer with ATF6. Interacts with ATF6 (By similarity). {ECO:0000250}.
ENSMUSG00000039086	Q8BW22	SUBUNIT: Homodimer. Dimerization may be necessary for its function in neuronal dendritic development. Interacts (via C-terminus) with CREBBP (via N-terminus), EP300 and SMARCA4/BRG1. Interacts with the nBAF complex. Association with CREBBP facilitates transcription while the association with SMARCA4/BRG1 suppresses CREST-mediated transcription in resting neurons (By similarity). {ECO:0000250}.
ENSMUSG00000037815	P26231	SUBUNIT: Monomer and homodimer; the monomer preferentially binds to CTNNB1 and the homodimer to actin. Binds MLLT4 and F-actin. Possible component of an E-cadherin/ catenin adhesion complex together with E-cadherin/CDH1 and beta-catenin/CTNNB1 or gamma-catenin/JUP; the complex is located to adherens junctions. The stable association of CTNNA1 is controversial as CTNNA1 was shown not to bind to F-actin when assembled in the complex. Alternatively, the CTNNA1-containing complex may be linked to F-actin by other proteins such as LIMA1. Interacts with ARHGAP21 and with AJUBA (By similarity). Interacts with LIMA1. {ECO:0000250, ECO:0000269|PubMed:10882138, ECO:0000269|PubMed:11907041, ECO:0000269|PubMed:16325583, ECO:0000269|PubMed:18093941, ECO:0000269|PubMed:7982500}.
ENSMUSG00000004364	Q9JLV5	SUBUNIT: Forms neddylation-dependent homodimers. Component of multiple BCR (BTB-CUL3-RBX1) E3 ubiquitin-protein ligase complexes formed of CUL3, RBX1 and a variable BTB domain-containing protein acting as both, adapter to cullin and substrate recognition subunit. The BCR complex may be active as a heterodimeric complex, in which NEDD8, covalently attached to one CUL3 molecule, binds to the C-terminus of a second CUL3 molecule. Interacts with RBX1, RNF7, CYCE and TIP120A/CAND1. Part of the BCR(SPOP) containing SPOP, and of BCR containing homodimeric SPOPL or the heterodimer formed by SPOP and SPOPL. Component of the BCR(KLHL21) E3 ubiquitin ligase complex, at least composed of CUL3, KLHL21 and RBX1. Component of the BCR(KLHL22) E3 ubiquitin ligase complex, at least composed of CUL3, KLHL22 and RBX1. Component of the BCR(KLHL25) E3 ubiquitin ligase complex, at least composed of CUL3, KLHL25 and RBX1. Part of the probable BCR(KLHL9-KLHL13) complex with BTB domain proteins KLHL9 and KLHL13. Part of the BCR(KLHL41) complex containing KLHL41. Component of the BCR(KLHL12) E3 ubiquitin ligase complex, at least composed of CUL3 and KLHL12 and RBX1. Component of the BCR(KLHL3) E3 ubiquitin ligase complex, at least composed of CUL3 and KLHL3 and RBX1 (Probable). Part of the BCR(ENC1) complex containing ENC1. Part of a complex consisting of BMI1/PCGF4, CUL3 and SPOP. Part of a complex consisting of BRMS1, CUL3 and SPOP. Part of a complex consisting of H2AFY, CUL3 and SPOP. Component of the BCR(KLHL42) E3 ubiquitin ligase complex, at least composed of CUL3 and KLHL42. Interacts with KLHL42 (via the BTB domain). Interacts with KATNA1; the interaction is enhanced by KLHL42. Interacts with KCTD5, KLHL9, KLHL11, KLHL13, GAN, ZBTB16, KLHL3, KLHL15, KLHL20, KLHL36, GMCL1P1, BTBD1. Part of a complex that contains CUL3, RBX1 and GAN. Interacts (via BTB domain) with KLHL17; the interaction regulates surface GRIK2 expression. Interacts with KCTD7. Part of the BCR(GAN) complex containing GAN. Part of the BCR(KEAP1) complex containing KEAP1 (By similarity). Interacts with KLHL10. Interacts with KAT5 and ATF2 (By similarity). Interacts with DCUN1D3 (By similarity). Interacts with KCTD17 in the BCR(KCTD17) E3 ubiquitin ligase complex, at least composed of CUL3, KCTD17 and RBX1 (By similarity). {ECO:0000250, ECO:0000250|UniProtKB:Q13618, ECO:0000305}.
ENSMUSG00000029352	Q9JJU9	SUBUNIT: Homo/heterodimer, or complexes of higher-order. The structure of beta-crystallin oligomers seems to be stabilized through interactions between the N-terminal arms (By similarity). {ECO:0000250}.
ENSMUSG00000032312	P41241	SUBUNIT: Homodimer (via SH3-domain) (By similarity). Interacts with PTPN22 (PubMed:8890164). Interacts with phosphorylated SIT1, PAG1, LIME1 and TGFB1I1; these interactions serve to recruit CSK to the membrane where it can phosphorylate and inhibit Src-family kinases (PubMed:9858471, PubMed:12218089, PubMed:12612075, PubMed:16166631). Interacts with SRCIN1 (By similarity). Interacts with RHOH (By similarity). Interacts (via SH2 domain) with SCIMP (By similarity). {ECO:0000250|UniProtKB:P41240, ECO:0000269|PubMed:12218089, ECO:0000269|PubMed:12612075, ECO:0000269|PubMed:16166631, ECO:0000269|PubMed:8890164, ECO:0000269|PubMed:9858471}.
ENSMUSG00000030970	P56546	SUBUNIT: Interacts with HIPK2 and PNN (By similarity). Interacts with the transcription factors ZNF217, BKLF, delta EF1/AREB6/ZEB, EVI-1 and Friend of GATA (FOG) via the consensus motif P-X-[DNS]-L-[STVA]. Interacts also with the C-terminus of adenovirus E1A protein. Can form a complex with BKLF on a CACCC-box oligonucleotide. Can form homodimers or heterodimers of CTBP1 and CTBP2. Interacts with NRIP1 and WIZ. Interacts with PRDM16; represses white adipose tissue (WAT)-specific genes expression. Interacts with FAM195B (By similarity). {ECO:0000250, ECO:0000250|UniProtKB:P56545, ECO:0000269|PubMed:14736873, ECO:0000269|PubMed:16702210, ECO:0000269|PubMed:16940172, ECO:0000269|PubMed:18483224}.
ENSMUSG00000040860	Q8CJ40	SUBUNIT: Homopolymer. Interacts with KLC3, NEK2 and the N-terminus of CEP250. {ECO:0000269|PubMed:12427867, ECO:0000269|PubMed:16339073}.
ENSMUSG00000079056	Q9QXT8	SUBUNIT: Binds to DNA as a homomultimer. Dimerization is induced by binding to calcium (PubMed:18201103). Interacts with the C-terminus of PSEN1 and PSEN2 and with PSEN2 CTF subunit. Associates with KCN1. Component of heteromultimeric potassium channels (PubMed:19713751). Identified in potassium channel complexes containing KCND1, KCND2, KCND3, KCNIP1, KCNIP2, KCNIP3, KCNIP4, DPP6 and DPP10 (PubMed:19713751). Interacts with KCND2 and KCND3 (PubMed:11598014, PubMed:12451113, PubMed:20943905). {ECO:0000269|PubMed:11598014, ECO:0000269|PubMed:12451113, ECO:0000269|PubMed:15746104, ECO:0000269|PubMed:18201103, ECO:0000269|PubMed:20943905, ECO:0000305}.
ENSMUSG00000024041	P24622	SUBUNIT: Heteropolymer composed of three CRYAA and one CRYAB subunits. Inter-subunit bridging via zinc ions enhances stability, which is crucial as there is no protein turn over in the lens. Can also form homodimers and higher homooligomers (By similarity). {ECO:0000250}.
ENSMUSG00000024621	P09581	SUBUNIT: Monomer. Homodimer. Interacts with CSF1 and IL34. Interaction with dimeric CSF1 or IL34 leads to receptor homodimerization. Interacts with INPPL1/SHIP2 and THOC5. Interacts (tyrosine phosphorylated) with PLCG2 (via SH2 domain). Interacts (tyrosine phosphorylated) with PIK3R1 (via SH2 domain). Interacts (tyrosine phosphorylated) with FYN, YES1 and SRC (via SH2 domain). Interacts (tyrosine phosphorylated) with CBL, GRB2 and SLA2. {ECO:0000269|PubMed:10597251, ECO:0000269|PubMed:11850825, ECO:0000269|PubMed:15557176, ECO:0000269|PubMed:1652061, ECO:0000269|PubMed:17353186, ECO:0000269|PubMed:19017797, ECO:0000269|PubMed:21610095, ECO:0000269|PubMed:8007983, ECO:0000269|PubMed:8262059, ECO:0000269|PubMed:9312046}.
ENSMUSG00000027498	Q99LC2	SUBUNIT: Homodimer. The CSTF complex is composed of CSTF1 (50 kDa subunit), CSTF2 (64 kDa subunit) and CSTF3 (77 kDa subunit). Interacts directly with CSTF3. Interacts with BARD1 (By similarity). {ECO:0000250}.
ENSMUSG00000024194	Q9CQ89	SUBUNIT: Homotrimer. {ECO:0000250}.
ENSMUSG00000014226	Q9CXW3	SUBUNIT: Monomer or homodimer. Component of some large E3 complex at least composed of UBE2D1, SIAH1, CACYBP/SIP, SKP1, APC and TBL1X. Interacts directly with SIAH1, SIAH2 and SKP1 (By similarity). Interacts with proteins of the S100 family S100A1, S100A6, S100B, S100P and S100A12 in a calcium-dependent manner (By similarity). {ECO:0000250}.
