Entry	Gene names	Subunit structure [CC]
Q8VCG4	C8g	SUBUNIT: C8 is composed of three chains: alpha, beta and gamma. The alpha and gamma chains are disulfide bonded (By similarity). {ECO:0000250}.
Q8BGD8	Coa6	SUBUNIT: Interacts with COA1. Interacts with MT-CO2. Interacts with SCO2. Interacts with SCO1. {ECO:0000250|UniProtKB:Q5JTJ3}.
Q64739	Col11a2	SUBUNIT: Trimers composed of three different chains: alpha 1(XI), alpha 2(XI), and alpha 3(XI). Alpha 3(XI) is a post-translational modification of alpha 1(II). Alpha 1(V) can also be found instead of alpha 3(XI)=1(II) (By similarity). {ECO:0000250}.
Q61245	Col11a1	SUBUNIT: Trimers composed of three different chains: alpha 1(XI), alpha 2(XI), and alpha 3(XI). Alpha 3(XI) is a post-translational modification of alpha 1(II). Alpha 1(V) can also be found instead of alpha 3(XI)=1(II) (By similarity). {ECO:0000250}.
Q9R1N9	Col13a1	SUBUNIT: Homotrimer; disulfide-linked. Nucleation of the type XIII collagen triple helix is likely to occur at the N-terminal region with triple helix formation proceeding from the N- to the C-terminus. Interacts with FN1, perlecan/HSPG2 and NID2 (By similarity). {ECO:0000250}.
Q8C0L8	Cog5	SUBUNIT: Component of the conserved oligomeric Golgi complex which is composed of eight different subunits and is required for normal Golgi morphology and localization. {ECO:0000250}.
Q8K4M5	Commd1 Murr1	SUBUNIT: Monomer, homodimer. Can form heterodimers with other COMM domain-containing proteins but only certain combinations may exist in vivo. Interacts (via COMM domain) with COMMD2, COMMD3, COMMD4, COMMD5, COMMD6, COMMD7, COMMD8 and COMMD10 (via COMM domain). Identified in a complex with an E3 ubiquitin ligase complex composed of TCEB1/elongin C, CUL2, SOCS1 and RBX1; in the complex interacts directly with SOCS1 and CUL2. Interacts directly with ATP7B (via the N-terminal region). Interacts with CCS, CDKN2A, RELA, REL, RELB, NFKB1/p105, NFKB2/p100, NFKBIB, SCNN1D, SCNN1B, CFTR, CLU, SGK1, AKT1, CUL1, CUL2, CUL3, CUL4A, CUL4B, CUL5, CUL7, HIF1A. Identified in a complex with NF-kappa-B. Interacts directly with SLC12A2. Interacts with CCDC22, CCDC93 and C16orf62 homolog; proposed to be a component of the CCC (COMMD/CCDC22/CCDC93) complex which contains at least COMMD1 (and possibly other COMM domain-containing proteins), CCDC22, CCDC93 and C16orf62 homolog. {ECO:0000250|UniProtKB:Q8N668}.
Q9CQ02	Commd4	SUBUNIT: Interacts (via COMM domain) with COMMD1 (via COMM domain). Interacts with RELA, RELB, NFKB1/p105. Interacts with CCDC22, CCDC93, SCNN1B, CUL2, CUL3, CUL4A, CUL5, CUL7. {ECO:0000250|UniProtKB:Q9H0A8}.
Q9QZE5	Copg1 Copg	SUBUNIT: Oligomeric complex that consists of at least the alpha, beta, beta', gamma, delta, epsilon and zeta subunits. Interacts with ZNF289/ARFGAP2 through its C-terminal appendage domain (By similarity). Interacts with EGFR upon EGF treatment; interaction is essential for regulation of EGF-dependent nuclear transport of EGFR by retrograde trafficking from the Golgi to the ER (By similarity). Interacts with COPB1 (By similarity). Interacts with TMED10 (via C-terminus). Interacts with TMED2, TMED3, TMED7 and TMED9 (By similarity). {ECO:0000250}.
Q9QXK3	Copg2	SUBUNIT: Oligomeric complex. Binds to CDC42. Interacts with JAGN1. {ECO:0000250|UniProtKB:Q9UBF2}.
Q8BMS4	Coq3	SUBUNIT: Component of a multi-subunit COQ enzyme complex, composed of at least COQ3, COQ4, COQ5, COQ6, COQ7 and COQ9. {ECO:0000255|HAMAP-Rule:MF_03190}.
Q9WUM3	Coro1b	SUBUNIT: Forms homooligomers, but does not form complexes with the other coronins. Interacts with Arp2/3 complex components, including ACTR2, ARPC1B and ARPC2. Binds actin (By similarity). {ECO:0000250}.
Q9Z319	Corin Crn Lrp4	
Q920M5	Coro6	
P56394	Cox17 Cox17a	SUBUNIT: Interacts with COA1. Interacts with the chaperone CHCHD4; this is important for correct folding and the formation of disulfide bonds that stabilize the structure (By similarity). {ECO:0000250}.
P00397	Mtco1 COI mt-Co1	
Q6IRU5	Cltb	SUBUNIT: Clathrin coats are formed from molecules containing 3 heavy chains and 3 light chains. Interacts (via N-terminus) with HIP1. Interacts with HIP1R.
Q9WUB6	Clcnkb Clckb Clcnk1l	SUBUNIT: Interacts with BSND. Forms heteromers with BSND in the thick ascending limb of Henle and more distal segments. {ECO:0000269|PubMed:11734858}.
O70496	Clcn7 Clc7	SUBUNIT: Chloride channel 7 are heteromers of alpha (CLCN7) and beta (OSTM1) subunits. {ECO:0000269|PubMed:16525474}.
Q60771	Cldn11 Osp Otm	SUBUNIT: Interacts with tetraspanin-3/TSPAN3. {ECO:0000269|PubMed:11309411}.
Q9Z0S5	Cldn15	SUBUNIT: Can form linear homooligomers in the membrane, giving rise to tight junction strand-like structures. {ECO:0000269|PubMed:24744376}.
Q9ET38	Cldn19	
Q9D7U6	Cldn22	
O54942	Cldn5 Bec1	SUBUNIT: Interacts with MPDZ (By similarity). Directly interacts with TJP1/ZO-1, TJP2/ZO-2 and TJP3/ZO-3. {ECO:0000250, ECO:0000269|PubMed:10601346}.
Q9D9H2	Cldnd2	
Q8K445	Clrn1 Ush3a	
Q06890	Clu Apoj Msgp-2	SUBUNIT: Antiparallel disulfide-linked heterodimer of an alpha chain and a beta chain. Self-associates and forms higher oligomers. Interacts with a broad range of misfolded proteins, including APP, APOC2 and LYZ. Slightly acidic pH promotes interaction with misfolded proteins. Forms high-molecular weight oligomers upon interaction with misfolded proteins. Interacts with APOA1, LRP2, CLUAP1 AND PON1. Interacts with the complement complex. Interacts with SYVN1, COMMD1, BTRC, CUL1 and with ubiquitin and SCF (SKP1-CUL1-F-box protein) E3 ubiquitin-protein ligase complexes. Interacts (via alpha chain) with BAX in stressed cells, where BAX undergoes a conformation change leading to association with the mitochondrial membrane. Does not interact with BAX in unstressed cells (By similarity). Interacts (via alpha chain) with XRCC6. Found in a complex with LTF, CLU, EPPIN and SEMG1 (By similarity). {ECO:0000250}.
Q8R4N0	Clybl Clb	
Q8CHQ9	Cml2	
Q80Y50	Camta2 Kiaa0909	SUBUNIT: May interact with calmodulin. {ECO:0000305}.
Q8BIG7	Comtd1	SUBUNIT: Homodimer. {ECO:0000250}.
Q9DBC3	Cmtr1 Ftsjd2 Kiaa0082	SUBUNIT: Interacts with POLR2A (via C-terminus). {ECO:0000250}.
Q4KL13	Gm527	
P0C8B4		
Q9JJN6	Ctnnbip1 Catnbip1 Icat	SUBUNIT: Binds CTNNB1.
Q3TP92	Ctdnep1 Dullard	SUBUNIT: Interacts with CNEP1R1; the complex dephosphorylates LPIN1 and LPIN2. {ECO:0000250}.
Q62398	Cnga2 Cncg2 Cncg4	SUBUNIT: Heterotetramer composed of two subunits of CNGA2, one of CNGA4 and one of CNGB1b. The complex forms the cyclic nucleotide-gated (CNG) channel of olfactory sensory neurons (By similarity). {ECO:0000250}.
Q9JJZ8	Cnga3 Cng3	SUBUNIT: Tetramer formed of three CNGA3 and one CNGB3 modulatory subunits. {ECO:0000250}.
Q80YA9	Cnksr2 Kiaa0902	SUBUNIT: Interacts with RAF1, RAB2L and RAL GTPase proteins. {ECO:0000250}.
Q0GA42	Cnnm1 Acdp1	
Q32NY4	Cnnm3 Acdp3	
Q69ZF7	Cnnm4 Acdp4 Kiaa1592	SUBUNIT: Interacts with COX11. {ECO:0000250}.
Q8BH15	Cnot10	SUBUNIT: Component of the CCR4-NOT complex; distinct complexes seem to exist that differ in the participation of probably mutually exclusive catalytic subunits. CNOT10 and CNOT11 form a subcomplex docked to the CNOT1 scaffold (By similarity). {ECO:0000250}.
Q9QXT0	Cnpy2 Msap Tmem4 Zsig9	SUBUNIT: Interacts with MYLIP/MIR. {ECO:0000250}.
Q9DAU1	Cnpy3 Prat4a Tnrc5	SUBUNIT: Interacts with HSP90B1; this interaction is disrupted in the presence of ATP. Interacts with TLR1, TLR2, TLR4 and TLR9. Strongest interaction with TLR4. {ECO:0000269|PubMed:16338228, ECO:0000269|PubMed:16849487, ECO:0000269|PubMed:17998391, ECO:0000269|PubMed:18780723, ECO:0000269|PubMed:20865800}.
Q8CBC4	Cnst	SUBUNIT: Interacts with connexins GJA1/CX43, GJB1/CX32, GJB2/CX26, GJB3/CX31, GJB6/CX30 and GJC1/CX45. Also interacts with GGA1 and GGA2. Does not interact with PANX1. {ECO:0000269|PubMed:19864490}.
Q9D995	Cntd1 Cntd	
A3KGF9		
Q8BS39	Ccdc32 Gm631	
Q63870	Col7a1	SUBUNIT: Homotrimer. Interacts with MIA3/TANGO1; facilitating its loading into transport carriers and subsequent secretion (By similarity). {ECO:0000250}.
P25318	Col8a2	SUBUNIT: Homotrimers, or heterotrimers in association with alpha 2(VIII) type collagens. Four homotrimers can form a tetrhedron stabilized by central interacting C-terminal NC1 trimers (By similarity). {ECO:0000250}.
P45591	Cfl2	SUBUNIT: Interacts with CSRP3; possibly two molecules of CFL2 can interact with one molecule if CSRP3. {ECO:0000250|UniProtKB:Q9Y281}.
Q8BLX7	Col16a1	SUBUNIT: Homotrimer. Interacts with FBN1, fibronectin and integrins ITGA1/ITGB1 and ITGA2/ITGB1. Integrin ITGA1/ITGB1 binds to a unique site within COL16A1 located close to its C-terminal end between collagenous domains COL1-COL3 (By similarity). {ECO:0000250|UniProtKB:Q07092}.
Q9CZG3	Commd8	SUBUNIT: Interacts (via COMM domain) with COMMD1 (via COMM domain). Interacts with RELA, RELB, NFKB1/p105. Interacts with CCDC22, CCDC93, SCNN1B, CUL1, CUL2, CUL3, CUL4A, CUL4B, CUL5. {ECO:0000250|UniProtKB:Q9NX08}.
Q99MQ5	Col25a1	SUBUNIT: Forms homodimers and homotrimers. Binds to the fibrillized forms of beta amyloid peptide 40 (beta-APP40) and beta amyloid peptide 42 (beta-APP42). Found associated with beta-APP42 more frequently than with beta-APP40 (By similarity). {ECO:0000250|UniProtKB:Q9BXS0}.
Q5XJY5	Arcn1 Copd	SUBUNIT: Oligomeric complex that consists of at least the alpha, beta, beta', gamma, delta, epsilon and zeta subunits. {ECO:0000250}.
Q8R1S0	Coq6	SUBUNIT: Component of a multi-subunit COQ enzyme complex, composed of at least COQ3, COQ4, COQ5, COQ6, COQ7 and COQ9. Interacts with ADCK4 and COQ7. {ECO:0000255|HAMAP-Rule:MF_03193}.
Q8BH44	Coro2b	SUBUNIT: Binds to F-actin and to vinculin. {ECO:0000250}.
P56469	Cort	
Q6P8I6	Cox11	SUBUNIT: Interacts with CNNM4/ACDP4. {ECO:0000250}.
P12787	Cox5a	
Q61387	Cox7a2l Cox7rp Scaf1 Silg81	SUBUNIT: Interacts with the mitochondrial respiratory supercomplex. {ECO:0000269|PubMed:23812712}.
P00184	Cyp1a1 Cyp1a-1	
Q920A1	Cysltr2 Cyslt2	
Q8BH59	Slc25a12 Aralar1	
Q61908	Cmc4 C6.1b Mtcp1	
P53996	Cnbp Cnbp1 Znf9	
Q8BSP2	Ncaph2 D15Ertd785e	SUBUNIT: Component of the condensin-2 complex, which contains the SMC2 and SMC4 heterodimer, and three non SMC subunits, NCAPG2, NCAPH2 and NCAPD3 that probably regulate the complex. {ECO:0000250}.
Q8BUG2	Cndp1 Cn1	SUBUNIT: Homodimer. {ECO:0000250}.
Q9CWN7	Cnot11 D1Bwg0212e	SUBUNIT: Component of the CCR4-NOT complex; distinct complexes seem to exist that differ in the participation of probably mutually exclusive catalytic subunits. CNOT10 and CNOT11 form a subcomplex docke to the CNOT1 scaffold (By similarity). {ECO:0000250}.
Q8K158	Cnppd1	
Q9CRC3		
Q8CD60		
P01029	C4b C4	SUBUNIT: Circulates in blood as a disulfide-linked trimer of an alpha, beta and gamma chain.
P06684	C5 Hc	SUBUNIT: C5 precursor is first processed by the removal of 4 basic residues, forming two chains, beta and alpha, linked by a disulfide bond. C5 convertase activates C5 by cleaving the alpha chain, releasing C5a anaphylatoxin and generating C5b (beta chain + alpha' chain). The C5a anaphylatoxin interacts with C5AR1. {ECO:0000250|UniProtKB:P01031}.
A6H584	Col6a5 Col29a1 Gm7455	SUBUNIT: Trimers composed of three different chains: alpha-1(VI), alpha-2(VI), and alpha-3(VI) or alpha-4(VI) or alpha-5(VI) or alpha-6(VI). {ECO:0000305|PubMed:18276594}.
Q8BT51	COA4 Chchd8	
Q921H9	Coa7 Selrc1	
O08791	Ebf3 Coe3	SUBUNIT: Forms either a homodimer or a heterodimer with a related family member.
P18760	Cfl1	SUBUNIT: Can bind G- and F-actin in a 1:1 ratio of cofilin to actin. It is a major component of intranuclear and cytoplasmic actin rods. {ECO:0000250|UniProtKB:P10668}.
Q921L5	Cog2 Ldlc	SUBUNIT: Component of the conserved oligomeric Golgi complex which is composed of eight different subunits and is required for normal Golgi morphology and localization. {ECO:0000250}.
Q8BG94	Commd7	SUBUNIT: Interacts (via COMM domain) with COMMD1 (via COMM domain). Interacts with RELA. Interacts with CCDC22, CCDC93, SCNN1B, CUL7. {ECO:0000250|UniProtKB:Q86VX2}.
Q9R0G6	Comp	SUBUNIT: Pentamer; disulfide-linked. Exists in a more compact conformation in the presence of calcium and shows a more extended conformation in the absence of calcium. Interacts with ITGB3, ITGA5 and FN1. Binding to FN1 requires the presence of divalent cations (Ca(2+), Mg(2+) or Mn(2+)). The greatest amount of binding is seen in the presence of Mn(2+). Interacts with MATN1, MATN3, MATN4 and ACAN. Binds heparin, heparan sulfate and chondroitin sulfate. EDTA dimishes significantly its binding to ACAN and abolishes its binding to MATN3, MATN4 and chondroitin sulfate. Interacts with collagen I, II and IX and interaction with these collagens is dependent on the presence of zinc ions. Interacts with ADAMTS12. Interacts with ITGA7 (By similarity). {ECO:0000250}.
Q8CIE6	Copa	SUBUNIT: Oligomeric complex that consists of at least the alpha, beta, beta', gamma, delta, epsilon and zeta subunits. Probably interacts with PEX11A. Interacts with SCYL1. Interacts with JAGN1 (By similarity). {ECO:0000250, ECO:0000250|UniProtKB:P53621}.
Q9JIF7	Copb1 Copb	SUBUNIT: Oligomeric complex that consists of at least the alpha, beta, beta', gamma, delta, epsilon and zeta subunits (By similarity). Interacts with CAPN8. Interacts with SCYL1 and PRKCE (By similarity). Interacts with COPG1 (By similarity). Interacts with ARF1 (myristoylated); this interaction is required for binding of COPB1 to Golgi membranes (By similarity). Interacts (via trunk domain) with ARF1 (via switch I region); the interaction is direct (By similarity). Interacts with KCNK2 (via N-terminus); this interaction increases the channel-mediated whole cell currents and promotes plasma membrane expression of KCNK2 (By similarity). Interacts with STX17 (By similarity). Interacts with TMEM115 (By similarity). {ECO:0000250}.
Q8BGB8	Coq4	SUBUNIT: Component of a multi-subunit COQ enzyme complex, composed of at least COQ3, COQ4, COQ5, COQ6, COQ7 and COQ9. {ECO:0000255|HAMAP-Rule:MF_03111}.
P43135	Nr2f2 Aporp1 Arp-1 Arp1 Tfcoup2	SUBUNIT: Interacts with SQSTM1. Binds DNA as a dimer; homodimer or heterodimer with NR2F6. Interacts with NCOA1, NCOA2, NCOA3 and PPARGC1A (By similarity). Interacts with ZFPM2. {ECO:0000250, ECO:0000269|PubMed:11382775}.
Q8BH51	Cox14	SUBUNIT: Component of some MITRAC complex. {ECO:0000250}.
Q8R1Y2		
Q64429	Cyp1b1 Cyp1-b1	
P56656	Cyp2c39	
Q60952	Cep250 Cep2 Inmp	SUBUNIT: Monomer and homodimer (Probable). Forms a complex in vitro with both NEK2 kinase and the PPP1CC catalytic subunit of protein phosphatase 1 (PP1). Interacts with CEP135 (By similarity). Interacts with CROCC/rootletin. Interacts with CNTLN (By similarity). {ECO:0000250|UniProtKB:Q9BV73, ECO:0000269|PubMed:16339073, ECO:0000305}.
P15392	Cyp2a4 Cyp2a-4	
P56593	Cyp2a12	
P12790	Cyp2b9 Cyp2b-9 Rip	
P24456	Cyp2d10 Cyp2d-10	
Q9JMA7	Cyp3a41a Cyp3a41; Cyp3a41b	
Q64464	Cyp3a13 Cyp3a-13	
Q9WVK8	Cyp46a1 Cyp46	
Q8WTY4	Ciapin1	SUBUNIT: Monomer. Interacts with NDOR1. Interacts with CHCHD4. {ECO:0000255|HAMAP-Rule:MF_03115}.
Q9EPU4	Cpsf1 Cpsf160	SUBUNIT: Component of the cleavage and polyadenylation specificity factor (CPSF) complex, composed of CPSF1, CPSF2, CPSF3, CPSF4 and FIP1L1. Found in a complex with CPSF1, FIP1L1 and PAPOLA. Interacts with FIP1L1 and SRRM1. Interacts with TUT1; the interaction is direct and mediates the recruitment of the CPSF complex on the 3'UTR of selected pre-mRNAs (By similarity). Interacts with PAPD4/GLD2. {ECO:0000250, ECO:0000269|PubMed:17927953}.
Q8C196	Cps1	SUBUNIT: Can form homooligomers (monomers as predominant form and dimers). {ECO:0000250|UniProtKB:P31327}.
Q9D4C9	Clvs1 Rlbp1l1	SUBUNIT: Forms a complex with clathrin heavy chain and gamma-adaptin. {ECO:0000250}.
Q8BG92	Clvs2 Rlbp1l2	SUBUNIT: Forms a complex with clathrin heavy chain and gamma-adaptin. {ECO:0000250}.
Q61419	Cmah	
Q9JIZ0	Cml1	
Q8BHN9		
Q3UK37		
Q8K2W9		
Q9CPZ1		
Q8BH86		
O35372	Cnih1 Cnih	SUBUNIT: Interacts with AREG immature precursor and with immature TGFA, i.e. with a prosegment and lacking full N-glycosylation, but not with the fully N-glycosylated form. In the Golgi apparatus, may form a complex with GORASP55 and transmembrane TGFA (By similarity). {ECO:0000250}.
Q8BMA3	Cnksr3	
Q08091	Cnn1	SUBUNIT: Part of cGMP kinase signaling complex at least composed of ACTA2/alpha-actin, CNN1/calponin H1, PLN/phospholamban, PRKG1 and ITPR1. {ECO:0000250}.
Q08093	Cnn2	
Q8K0V4	Cnot3 Not3	SUBUNIT: Component of the CCR4-NOT complex; distinct complexes seem to exist that differ in the participation of probably mutually exclusive catalytic subunits. In the complex interacts directly with CNOT2. Interacts with TIP120B and NANOS2. {ECO:0000269|PubMed:20133598}.
Q8BT14	Cnot4 Not4	SUBUNIT: Interacts with CNOT1 via its C-terminus but does not stably associate with the CCR4-NOT complex. Binds E2 ubiquitin ligases via its RING domain. Interacts (via RING domain) with UBE2D2 (By similarity). {ECO:0000250}.
Q3TEI4		
Q8CE97	Gm14137	
P21180	C2	
P08121	Col3a1	SUBUNIT: Trimers of identical alpha 1(III) chains. The chains are linked to each other by interchain disulfide bonds. Trimers are also cross-linked via hydroxylysines.
P06683	C9	SUBUNIT: Component of the membrane attack complex (MAC). MAC assembly is initiated by protelytic cleavage of C5 into C5a and C5b. C5b binds sequentially C6, C7, C8 and multiple copies of the pore-forming subunit C9 (By similarity). {ECO:0000250}.
Q8CI04	Cog3	SUBUNIT: Component of the conserved oligomeric Golgi complex which is composed of eight different subunits and is required for normal Golgi morphology and localization. Interacts with TMEM115. {ECO:0000250}.
Q07563	Col17a1 Bp180 Bpag2	SUBUNIT: Homotrimers of alpha 1(XVII)chains. Interacts (via cytoplasmic region) with ITGB4 (via cytoplasmic region). Interacts (via cytoplasmic region) with DST (via N-terminus). Interacts (via N-terminus) with PLEC. Interacts (via cytoplasmic region) with DSP (By similarity). {ECO:0000250}.
Q5SU73	Coil CLN80	SUBUNIT: Interacts with ANKS1B. Interacts with SMN (via Tudor domain). Interacts (via C-terminus) with AK6 (By similarity). {ECO:0000250}.
Q0VF58	Col19a1	SUBUNIT: Oligomer; disulfide-linked. {ECO:0000250|UniProtKB:Q14993}.
Q923P0	Col20a1	
Q8CF98	Colec10 Cll1	
Q9CQC2	Clps	SUBUNIT: Forms a 1:1 stoichiometric complex with pancreatic lipase. {ECO:0000255|PROSITE-ProRule:PRU00674}.
Q8R395	Commd5	SUBUNIT: Interacts (via COMM domain) with COMMD1 (via COMM domain). Interacts with RELA, RELB, NFKB1/p105. Interacts with CCDC22, CCDC93, SCNN1B, CUL2, CUL3, CUL4A, CUL4B, CUL7. {ECO:0000250|UniProtKB:Q9GZQ3}.
Q3V4B5	Commd6	SUBUNIT: Homodimer. Interacts (via COMM domain) with COMMD1 (via COMM domain). Does not interact with NFKBIB. Interacts with RELA, RELB, NFKB1/p105. Does not interact with NFKBIB. Interacts with CCDC22, CCDC93, SCNN1B, CUL4A. {ECO:0000250|UniProtKB:Q7Z4G1}.
Q8K2Q0	Commd9	SUBUNIT: Interacts with RELB and NFKB1/p105. Interacts with CCDC22, CCDC93, SCNN1B, CUL1. {ECO:0000250|UniProtKB:Q9P000}.
Q8K4G2	Col23a1	SUBUNIT: Homotrimer. {ECO:0000250}.
Q30D77	Col24a1	
O89079	Cope Cope1	SUBUNIT: Oligomeric complex that consists of at least the alpha, beta, beta', gamma, delta, epsilon and zeta subunits.
Q66JT7	Coq2	
Q8K0C8	Cox19	
P00405	Mtco2 COII mt-Co2	
P19783	Cox4i1 Cox4 Cox4a	
Q9CPQ1	Cox6c	
Q80VN0	Cfap100 Ccdc37	
P27786	Cyp17a1 Cyp17	
P56654	Cyp2c37	
O55127	Cyp26a1 Cyp26 P450ra	
P24457	Cyp2d11 Cyp2d-11	
Q05421	Cyp2e1 Cyp2e Cyp2e-1	
O88962	Cyp8b1 Cyp12	
P63040	Cplx1	SUBUNIT: Binds to the SNARE core complex containing SNAP25, VAMP2 and STX1A. {ECO:0000250|UniProtKB:O14810}.
Q8JZW4	Cpne5	
Q9Z140	Cpne6	SUBUNIT: Interacts (via second C2 domain) with OS9 (via C-terminus); this interaction occurs in a calcium-dependent manner in vitro (PubMed:10403379). May interact with NECAB1 (By similarity). {ECO:0000250|UniProtKB:O95741, ECO:0000269|PubMed:10403379}.
Q9CQF3	Nudt21 Cpsf5	SUBUNIT: Homodimer. Component of the cleavage factor Im (CFIm) complex, composed of, at least, NUDT21/CPSF5 and CPSF6 or CPSF7. Within the cleavage factor Im complex, the NUDT21/CPSF5 homodimer is at the core of a heterotetramer, and is clasped by two additional subunits (CPSF6 or CPSF7). Interacts with CPSF6, CPSF7, PABPN1 and SNRNP70. Interacts with PAPOLA; the interaction is diminished by acetylation (By similarity). {ECO:0000250}.
Q8BGD5	Cpt1c	SUBUNIT: Peripherally associated with AMPAR complex. AMPAR complex consists of an inner core made of 4 pore-forming GluA/GRIA proteins (GRIA1, GRIA2, GRIA3 and GRIA4) and 4 major auxiliary subunits arranged in a twofold symmetry. One of the two pairs of distinct binding sites is occupied either by CNIH2, CNIH3 or CACNG2, CACNG3. The other harbors CACNG2, CACNG3, CACNG4, CACNG8 or GSG1L. This inner core of AMPAR complex is complemented by outer core constituents binding directly to the GluA/GRIA proteins at sites distinct from the interaction sites of the inner core constituents. Outer core constituents include at least PRRT1, PRRT2, CKAMP44/SHISA9, FRRS1L and NRN1. The proteins of the inner and outer core serve as a platform for other, more peripherally associated AMPAR constituents, including CPT1C. Alone or in combination, these auxiliary subunits control the gating and pharmacology of the AMPAR complex and profoundly impact their biogenesis and protein processing. Interacts with ATL1 (By similarity). {ECO:0000250|UniProtKB:Q8TCG5, ECO:0000269|PubMed:22632720}.
Q8BS40	Cptp Gltpd1	
Q9D3S9	Cpvl	
Q3V0P1	Cpxcr1 Gm1143	
Q9Z100	Cpxm1 Cpx1 Cpxm	
Q9D2L5	Cpxm2 Cpx2	
Q5ND19	Gm11492	
Q3TYS2		
Q3V3I5	Gm525	
Q8C5U4		
Q5XFZ0		
Q8BH50		
Q9WVJ5	Crybb1	SUBUNIT: Homo/heterodimer, or complexes of higher-order. The structure of beta-crystallin oligomers seems to be stabilized through interactions between the N-terminal arms.
P62696	Crybb2	SUBUNIT: Homo/heterodimer, or complexes of higher-order. The structure of beta-crystallin oligomers seems to be stabilized through interactions between the N-terminal arms (By similarity). {ECO:0000250}.
Q8VHL5	Crygn	SUBUNIT: Monomer. {ECO:0000269|PubMed:15853812}.
Q9JLL0	Crim1	SUBUNIT: Interacts with BMP4 and BMP7. {ECO:0000250}.
Q5M8N0	Cnrip1	SUBUNIT: Interacts with the cannabinoid receptor CNR1 (via C-terminus). Does not interact with cannabinoid receptor CNR2 (By similarity). {ECO:0000250}.
P51642	Cntf	
A2AL36	Cntrl Cep1 Cep110	SUBUNIT: Interacts with HOOK2. Interacts with EXOC6 and SNAPIN. Associates with the exocyst complex (By similarity). {ECO:0000250}.
Q3U4G0		
Q02788	Col6a2	SUBUNIT: Trimers composed of three different chains: alpha-1(VI), alpha-2(VI), and alpha-3(VI) or alpha-4(VI) or alpha-5(VI) or alpha-6(VI). Interacts with CSPG4 (By similarity). {ECO:0000250}.
Q8C6K9	Col6a6	SUBUNIT: Trimers composed of three different chains: alpha-1(VI), alpha-2(VI), and alpha-3(VI) or alpha-4(VI) or alpha-5(VI) or alpha-6(VI). {ECO:0000305|PubMed:18276594}.
Q00780	Col8a1	SUBUNIT: Homotrimers, or heterotrimers in association with alpha 2(VIII) type collagens. Four homotrimers can form a tetrhedron stabilized by central interacting C-terminal NC1 trimers (By similarity). {ECO:0000250}.
Q8BZB2	Ppcdc Coac	SUBUNIT: Homotrimer. {ECO:0000305}.
Q9DBL7	Coasy Ukr1	SUBUNIT: Monomer. {ECO:0000250}.
Q07802	Ebf1 Coe1 Ebf	SUBUNIT: Interacts with ZNF423 and ZNF521, leading to prevent EBF1 to bind DNA and activate target genes (By similarity). Forms either a homodimer or a heterodimer with a related family member. {ECO:0000250, ECO:0000269|PubMed:20876732, ECO:0000269|PubMed:9151732}.
Q80X19	Col14a1	SUBUNIT: Homotrimer. {ECO:0000250|UniProtKB:P32018}.
Q8R3I3	Cog6 Kiaa1134	SUBUNIT: Component of the conserved oligomeric Golgi complex which is composed of eight different subunits and is required for normal Golgi morphology and localization. {ECO:0000250}.
Q8BXC6	Commd2	SUBUNIT: Interacts (via COMM domain) with COMMD1 (via COMM domain). Interacts with RELA, RELB, NFKB1/p105, NFKB2/p100. Interacts with CCDC22, CCDC93, SCNN1B, CUL3, CUL4B, CUL5, CUL7. {ECO:0000250|UniProtKB:Q86X83}.
Q9CQ13	Coprs Copr5	SUBUNIT: Interacts with PRMT5. Interacts with histone H4; specifically interacts with the N-terminus of histone H4 but not with histone H3 (By similarity). Interacts with CBFB. Found in a complex with PRMT5, RUNX1 and CBFB. {ECO:0000250, ECO:0000269|PubMed:22193545}.
Q9JHH9	Copz2	SUBUNIT: Oligomeric complex.
Q9CXI0	Coq5 D5Ertd33e	SUBUNIT: Component of a multi-subunit COQ enzyme complex, composed of at least COQ3, COQ4, COQ5, COQ6, COQ7 and COQ9. {ECO:0000255|HAMAP-Rule:MF_03191}.
Q91VF6	Col26a1 Col26a Emid2 Emu2	SUBUNIT: Homotrimer or heterotrimer.
Q8C0P5	Coro2a	SUBUNIT: Binds actin. Component of the N-Cor repressor complex, at least composed of NCOR1, NCOR2, HDAC3, TBL1X, TBL1R, CORO2A and GPS2. {ECO:0000250}.
Q5QNQ9	Col27a1 Kiaa1870	
Q60632	Nr2f1 Erbal3 Tfcoup1	SUBUNIT: Binds DNA as a dimer; homodimer and probable heterodimer with NR2F6. Interacts with COPS2 (By similarity). {ECO:0000250}.
P19536	Cox5b	
P48772	Cox8b Cox8h	
Q8BWQ6		SUBUNIT: Interacts with COMMD1, CCDC93 and CCDC22; proposed to be a component of the CCC (COMMD/CCDC22/CCDC93) complex which contains at least COMMD1 (and possibly other COMM domain-containing proteins), CCDC22, CCDC93 and C16orf62 homolog. Interacts with FAM21, WASH1. {ECO:0000250|UniProtKB:Q7Z3J2}.
Q8K1L6		
E9QMW4		
Q64458	Cyp2c29	
P11714	Cyp2d9 Cyp2d-9	
Q8CIM7	Cyp2d26 Cyp2d-26	
O54749	Cyp2j5	
Q64459	Cyp3a11 Cyp3a-11	
Q9EP75	Cyp4f14	
