Mouse_gene_Ensembl_id	Zebrafish_ortholog1_Ensembl_id	Zebrafish_ortholog2_Ensembl_id	Ensembl_gene_tree_id
ENSMUSG00000067279	ENSDARG00000014554	ENSDARG00000071005	ENSGT00530000062978
ENSMUSG00000049999	ENSDARG00000077513	ENSDARG00000076248	ENSGT00530000062978
ENSMUSG00000039202	ENSDARG00000025797	ENSDARG00000045804	ENSGT00530000062981
ENSMUSG00000020733	ENSDARG00000000068	ENSDARG00000074042	ENSGT00530000062999
ENSMUSG00000032105	ENSDARG00000040568	ENSDARG00000055656	ENSGT00530000062999
ENSMUSG00000019320	ENSDARG00000041294	ENSDARG00000056374	ENSGT00530000063010
ENSMUSG00000053617	ENSDARG00000060148	ENSDARG00000061758	ENSGT00530000063010
ENSMUSG00000045659	ENSDARG00000060813	ENSDARG00000062220	ENSGT00530000063012
ENSMUSG00000029674	ENSDARG00000003022	ENSDARG00000063651	ENSGT00530000063025
ENSMUSG00000058740	ENSDARG00000079098	ENSDARG00000079484	ENSGT00530000063026
ENSMUSG00000027173	ENSDARG00000055043	ENSDARG00000053246	ENSGT00530000063030
ENSMUSG00000005610	ENSDARG00000020377	ENSDARG00000057167	ENSGT00530000063038
ENSMUSG00000027074	ENSDARG00000059682	ENSDARG00000057949	ENSGT00530000063043
ENSMUSG00000021898	ENSDARG00000008473	ENSDARG00000087741	ENSGT00530000063050
ENSMUSG00000001768	ENSDARG00000077040	ENSDARG00000074589	ENSGT00530000063053
ENSMUSG00000004044	ENSDARG00000059362	ENSDARG00000076411	ENSGT00530000063058
ENSMUSG00000028348	ENSDARG00000056743	ENSDARG00000038658	ENSGT00530000063058
ENSMUSG00000045180	ENSDARG00000076416	ENSDARG00000076371	ENSGT00530000063061
ENSMUSG00000031447	ENSDARG00000077944	ENSDARG00000092610	ENSGT00530000063068
ENSMUSG00000022092	ENSDARG00000014962	ENSDARG00000057456	ENSGT00530000063087
ENSMUSG00000039478	ENSDARG00000078599	ENSDARG00000074255	ENSGT00530000063089
ENSMUSG00000033597	ENSDARG00000046107	ENSDARG00000020489	ENSGT00530000063104
ENSMUSG00000024219	ENSDARG00000062396	ENSDARG00000078901	ENSGT00530000063104
ENSMUSG00000007888	ENSDARG00000006368	ENSDARG00000024365	ENSGT00530000063112
ENSMUSG00000005268	ENSDARG00000016570	ENSDARG00000045955	ENSGT00530000063112
ENSMUSG00000055737	ENSDARG00000054771	ENSDARG00000007671	ENSGT00530000063112
ENSMUSG00000030304	ENSDARG00000020224	ENSDARG00000051936	ENSGT00530000063113
ENSMUSG00000042207	ENSDARG00000003098	ENSDARG00000057093	ENSGT00530000063118
ENSMUSG00000022555	ENSDARG00000054914	ENSDARG00000031465	ENSGT00530000063122
ENSMUSG00000027883	ENSDARG00000017311	ENSDARG00000025027	ENSGT00530000063126
ENSMUSG00000033149	ENSDARG00000079889	ENSDARG00000074843	ENSGT00530000063148
ENSMUSG00000037697	ENSDARG00000037042	ENSDARG00000086808	ENSGT00530000063155
ENSMUSG00000028634	ENSDARG00000037154	ENSDARG00000075928	ENSGT00530000063161
ENSMUSG00000068697	ENSDARG00000071445	ENSDARG00000056209	ENSGT00530000063184
ENSMUSG00000028116	ENSDARG00000012311	ENSDARG00000037266	ENSGT00530000063184
ENSMUSG00000024826	ENSDARG00000012219	ENSDARG00000037291	ENSGT00530000063194
ENSMUSG00000042292	ENSDARG00000075867	ENSDARG00000076229	ENSGT00530000063195
ENSMUSG00000051343	ENSDARG00000094510	ENSDARG00000088248	ENSGT00530000063203
ENSMUSG00000031488	ENSDARG00000036462	ENSDARG00000046124	ENSGT00530000063203
ENSMUSG00000020785	ENSDARG00000035452	ENSDARG00000015134	ENSGT00530000063214
ENSMUSG00000004535	ENSDARG00000034062	ENSDARG00000056856	ENSGT00530000063216
ENSMUSG00000025364	ENSDARG00000039578	ENSDARG00000070657	ENSGT00530000063220
ENSMUSG00000059493	ENSDARG00000079977	ENSDARG00000070227	ENSGT00530000063248
ENSMUSG00000022892	ENSDARG00000055543	ENSDARG00000059036	ENSGT00530000063252
ENSMUSG00000029776	ENSDARG00000036236	ENSDARG00000007959	ENSGT00530000063270
ENSMUSG00000042507	ENSDARG00000011445	ENSDARG00000053864	ENSGT00530000063277
ENSMUSG00000026483	ENSDARG00000023053	ENSDARG00000042055	ENSGT00530000063284
ENSMUSG00000031833	ENSDARG00000086505	ENSDARG00000061725	ENSGT00530000063286
ENSMUSG00000053693	ENSDARG00000088789	ENSDARG00000027497	ENSGT00530000063286
ENSMUSG00000027524	ENSDARG00000070925	ENSDARG00000086669	ENSGT00530000063310
ENSMUSG00000064310	ENSDARG00000061835	ENSDARG00000063372	ENSGT00530000063315
ENSMUSG00000009394	ENSDARG00000045945	ENSDARG00000078971	ENSGT00530000063319
ENSMUSG00000053510	ENSDARG00000019596	ENSDARG00000062372	ENSGT00530000063327
ENSMUSG00000025380	ENSDARG00000059574	ENSDARG00000074396	ENSGT00530000063373
ENSMUSG00000037287	ENSDARG00000019525	ENSDARG00000002682	ENSGT00530000063405
ENSMUSG00000040151	ENSDARG00000062008	ENSDARG00000062078	ENSGT00530000063408
ENSMUSG00000039671	ENSDARG00000011932	ENSDARG00000007601	ENSGT00530000063428
ENSMUSG00000022636	ENSDARG00000058538	ENSDARG00000026531	ENSGT00530000063457
ENSMUSG00000063455	ENSDARG00000063361	ENSDARG00000063008	ENSGT00530000063472
ENSMUSG00000030753	ENSDARG00000042489	ENSDARG00000020964	ENSGT00530000063516
ENSMUSG00000018377	ENSDARG00000008247	ENSDARG00000061030	ENSGT00530000063522
ENSMUSG00000052917	ENSDARG00000062148	ENSDARG00000061138	ENSGT00530000063531
ENSMUSG00000000861	ENSDARG00000061352	ENSDARG00000063153	ENSGT00530000063542
ENSMUSG00000044352	ENSDARG00000077861	ENSDARG00000079125	ENSGT00530000063547
ENSMUSG00000046240	ENSDARG00000077945	ENSDARG00000056934	ENSGT00530000063550
ENSMUSG00000035258	ENSDARG00000062156	ENSDARG00000071095	ENSGT00530000063558
ENSMUSG00000026305	ENSDARG00000095170	ENSDARG00000030012	ENSGT00530000063564
ENSMUSG00000004865	ENSDARG00000073997	ENSDARG00000031560	ENSGT00530000063566
ENSMUSG00000034579	ENSDARG00000078718	ENSDARG00000008948	ENSGT00530000063569
ENSMUSG00000029821	ENSDARG00000040485	ENSDARG00000086762	ENSGT00530000063574
ENSMUSG00000021518	ENSDARG00000012588	ENSDARG00000036114	ENSGT00530000063576
ENSMUSG00000078958	ENSDARG00000090963	ENSDARG00000091509	ENSGT00530000063584
ENSMUSG00000019087	ENSDARG00000041417	ENSDARG00000037153	ENSGT00530000063584
ENSMUSG00000029086	ENSDARG00000034007	ENSDARG00000039966	ENSGT00530000063586
ENSMUSG00000024256	ENSDARG00000027740	ENSDARG00000004015	ENSGT00530000063592
ENSMUSG00000038538	ENSDARG00000052315	ENSDARG00000063062	ENSGT00530000063595
ENSMUSG00000034903	ENSDARG00000088979	ENSDARG00000089858	ENSGT00530000063608
ENSMUSG00000039316	ENSDARG00000070831	ENSDARG00000086499	ENSGT00530000063609
ENSMUSG00000022552	ENSDARG00000076995	ENSDARG00000059871	ENSGT00530000063620
ENSMUSG00000032523	ENSDARG00000005139	ENSDARG00000039051	ENSGT00530000063629
ENSMUSG00000037674	ENSDARG00000074522	ENSDARG00000077237	ENSGT00530000063636
ENSMUSG00000030259	ENSDARG00000045596	ENSDARG00000045485	ENSGT00530000063648
ENSMUSG00000031508	ENSDARG00000004771	ENSDARG00000037100	ENSGT00530000063667
ENSMUSG00000019856	ENSDARG00000014081	ENSDARG00000002635	ENSGT00530000063669
ENSMUSG00000033088	ENSDARG00000006385	ENSDARG00000075870	ENSGT00530000063678
ENSMUSG00000040651	ENSDARG00000089893	ENSDARG00000013346	ENSGT00530000063735
ENSMUSG00000017344	ENSDARG00000053831	ENSDARG00000055388	ENSGT00530000063751
ENSMUSG00000050315	ENSDARG00000077157	ENSDARG00000079675	ENSGT00530000063754
ENSMUSG00000039376	ENSDARG00000077293	ENSDARG00000078696	ENSGT00530000063754
ENSMUSG00000015745	ENSDARG00000061191	ENSDARG00000077499	ENSGT00530000063760
ENSMUSG00000038763	ENSDARG00000090375	ENSDARG00000078989	ENSGT00530000063799
ENSMUSG00000042406	ENSDARG00000039515	ENSDARG00000038141	ENSGT00530000063801
ENSMUSG00000046811	ENSDARG00000067889	ENSDARG00000054218	ENSGT00530000063818
ENSMUSG00000032531	ENSDARG00000061948	ENSDARG00000061923	ENSGT00530000063846
ENSMUSG00000042106	ENSDARG00000070360	ENSDARG00000070404	ENSGT00530000063849
ENSMUSG00000027750	ENSDARG00000061219	ENSDARG00000043806	ENSGT00530000063860
ENSMUSG00000054409	ENSDARG00000086535	ENSDARG00000091623	ENSGT00530000063880
ENSMUSG00000034275	ENSDARG00000033845	ENSDARG00000069467	ENSGT00530000063887
ENSMUSG00000038916	ENSDARG00000063311	ENSDARG00000075455	ENSGT00530000063889
ENSMUSG00000034187	ENSDARG00000038991	ENSDARG00000007654	ENSGT00530000064085
ENSMUSG00000036822	ENSDARG00000037260	ENSDARG00000039784	ENSGT00530000064170
ENSMUSG00000054136	ENSDARG00000045708	ENSDARG00000078875	ENSGT00530000064523
ENSMUSG00000039194	ENSDARG00000012504	ENSDARG00000045808	ENSGT00550000074253
ENSMUSG00000022610	ENSDARG00000042021	ENSDARG00000006409	ENSGT00550000074271
ENSMUSG00000034075	ENSDARG00000087417	ENSDARG00000016263	ENSGT00550000074293
ENSMUSG00000036019	ENSDARG00000045753	ENSDARG00000035273	ENSGT00550000074327
ENSMUSG00000038393	ENSDARG00000036107	ENSDARG00000070000	ENSGT00550000074356
ENSMUSG00000026942	ENSDARG00000078378	ENSDARG00000030173	ENSGT00550000074359
ENSMUSG00000027993	ENSDARG00000031817	ENSDARG00000076174	ENSGT00550000074377
ENSMUSG00000021636	ENSDARG00000061651	ENSDARG00000025076	ENSGT00550000074378
ENSMUSG00000051111	ENSDARG00000086965	ENSDARG00000059997	ENSGT00550000074384
ENSMUSG00000042216	ENSDARG00000028857	ENSDARG00000075376	ENSGT00550000074386
ENSMUSG00000029475	ENSDARG00000046010	ENSDARG00000036593	ENSGT00550000074396
ENSMUSG00000025612	ENSDARG00000002196	ENSDARG00000062553	ENSGT00550000074399
ENSMUSG00000030510	ENSDARG00000078541	ENSDARG00000036337	ENSGT00550000074401
ENSMUSG00000015714	ENSDARG00000058992	ENSDARG00000013704	ENSGT00550000074401
ENSMUSG00000008206	ENSDARG00000031387	ENSDARG00000018619	ENSGT00550000074401
ENSMUSG00000032405	ENSDARG00000036094	ENSDARG00000062445	ENSGT00550000074410
ENSMUSG00000020262	ENSDARG00000003544	ENSDARG00000041609	ENSGT00550000074412
ENSMUSG00000021596	ENSDARG00000076404	ENSDARG00000060871	ENSGT00550000074417
ENSMUSG00000025366	ENSDARG00000034714	ENSDARG00000014239	ENSGT00550000074417
ENSMUSG00000031808	ENSDARG00000038352	ENSDARG00000006240	ENSGT00550000074420
ENSMUSG00000021763	ENSDARG00000075600	ENSDARG00000076735	ENSGT00550000074429
ENSMUSG00000028790	ENSDARG00000052856	ENSDARG00000070475	ENSGT00550000074434
ENSMUSG00000027744	ENSDARG00000057035	ENSDARG00000079914	ENSGT00550000074454
ENSMUSG00000016458	ENSDARG00000007990	ENSDARG00000031420	ENSGT00550000074455
ENSMUSG00000023046	ENSDARG00000090833	ENSDARG00000070941	ENSGT00550000074457
ENSMUSG00000039323	ENSDARG00000031422	ENSDARG00000052470	ENSGT00550000074457
ENSMUSG00000020429	ENSDARG00000038666	ENSDARG00000014947	ENSGT00550000074457
ENSMUSG00000028796	ENSDARG00000013224	ENSDARG00000056695	ENSGT00550000074459
ENSMUSG00000037652	ENSDARG00000079167	ENSDARG00000074604	ENSGT00550000074459
ENSMUSG00000028488	ENSDARG00000039901	ENSDARG00000023600	ENSGT00550000074464
ENSMUSG00000003200	ENSDARG00000002642	ENSDARG00000067958	ENSGT00550000074464
ENSMUSG00000026860	ENSDARG00000035470	ENSDARG00000008983	ENSGT00550000074464
ENSMUSG00000032280	ENSDARG00000069006	ENSDARG00000002787	ENSGT00550000074465
ENSMUSG00000079105	ENSDARG00000057121	ENSDARG00000042172	ENSGT00550000074478
ENSMUSG00000062252	ENSDARG00000045023	ENSDARG00000056458	ENSGT00550000074479
ENSMUSG00000020805	ENSDARG00000077691	ENSDARG00000039999	ENSGT00550000074480
ENSMUSG00000004837	ENSDARG00000005414	ENSDARG00000022668	ENSGT00550000074482
ENSMUSG00000038909	ENSDARG00000070371	ENSDARG00000031770	ENSGT00550000074503
ENSMUSG00000021702	ENSDARG00000020072	ENSDARG00000052631	ENSGT00550000074507
ENSMUSG00000040152	ENSDARG00000063430	ENSDARG00000010785	ENSGT00550000074507
ENSMUSG00000028134	ENSDARG00000015230	ENSDARG00000015901	ENSGT00550000074508
ENSMUSG00000006498	ENSDARG00000019362	ENSDARG00000031907	ENSGT00550000074508
ENSMUSG00000028360	ENSDARG00000017398	ENSDARG00000057419	ENSGT00550000074521
ENSMUSG00000023232	ENSDARG00000056532	ENSDARG00000053425	ENSGT00550000074522
ENSMUSG00000042429	ENSDARG00000070056	ENSDARG00000075694	ENSGT00550000074524
ENSMUSG00000021025	ENSDARG00000005481	ENSDARG00000007693	ENSGT00550000074527
ENSMUSG00000026576	ENSDARG00000013144	ENSDARG00000076833	ENSGT00550000074530
ENSMUSG00000041329	ENSDARG00000013605	ENSDARG00000034424	ENSGT00550000074530
ENSMUSG00000032412	ENSDARG00000042837	ENSDARG00000015790	ENSGT00550000074530
ENSMUSG00000026014	ENSDARG00000006301	ENSDARG00000061732	ENSGT00550000074537
ENSMUSG00000025041	ENSDARG00000058231	ENSDARG00000039399	ENSGT00550000074539
ENSMUSG00000030246	ENSDARG00000071076	ENSDARG00000019644	ENSGT00550000074541
ENSMUSG00000000915	ENSDARG00000060627	ENSDARG00000059484	ENSGT00550000074542
ENSMUSG00000052698	ENSDARG00000044271	ENSDARG00000017901	ENSGT00550000074542
ENSMUSG00000041734	ENSDARG00000001634	ENSDARG00000056998	ENSGT00550000074545
ENSMUSG00000053395	ENSDARG00000070626	ENSDARG00000020450	ENSGT00550000074547
ENSMUSG00000020723	ENSDARG00000074669	ENSDARG00000039238	ENSGT00550000074547
ENSMUSG00000069806	ENSDARG00000070624	ENSDARG00000063006	ENSGT00550000074547
ENSMUSG00000024565	ENSDARG00000079613	ENSDARG00000057586	ENSGT00550000074555
ENSMUSG00000006575	ENSDARG00000002546	ENSDARG00000007245	ENSGT00550000074558
ENSMUSG00000030399	ENSDARG00000040565	ENSDARG00000035327	ENSGT00550000074561
ENSMUSG00000003847	ENSDARG00000014022	ENSDARG00000020872	ENSGT00550000074562
ENSMUSG00000020646	ENSDARG00000031845	ENSDARG00000042551	ENSGT00550000074565
ENSMUSG00000047343	ENSDARG00000055437	ENSDARG00000078878	ENSGT00550000074572
ENSMUSG00000038967	ENSDARG00000020876	ENSDARG00000059054	ENSGT00550000074574
ENSMUSG00000007880	ENSDARG00000079879	ENSDARG00000060073	ENSGT00550000074575
ENSMUSG00000020823	ENSDARG00000019301	ENSDARG00000086013	ENSGT00550000074580
ENSMUSG00000006344	ENSDARG00000078258	ENSDARG00000052045	ENSGT00550000074591
ENSMUSG00000019261	ENSDARG00000060326	ENSDARG00000060805	ENSGT00550000074593
ENSMUSG00000027254	ENSDARG00000059601	ENSDARG00000022045	ENSGT00550000074593
ENSMUSG00000010080	ENSDARG00000004633	ENSDARG00000078953	ENSGT00550000074611
ENSMUSG00000006169	ENSDARG00000089914	ENSDARG00000025535	ENSGT00550000074611
ENSMUSG00000030884	ENSDARG00000071691	ENSDARG00000014794	ENSGT00550000074666
ENSMUSG00000028646	ENSDARG00000059154	ENSDARG00000069829	ENSGT00550000074708
ENSMUSG00000026489	ENSDARG00000032426	ENSDARG00000020123	ENSGT00550000074739
ENSMUSG00000028419	ENSDARG00000041900	ENSDARG00000038855	ENSGT00550000074817
ENSMUSG00000026775	ENSDARG00000075192	ENSDARG00000087253	ENSGT00550000074836
ENSMUSG00000032519	ENSDARG00000074533	ENSDARG00000059805	ENSGT00550000075117
ENSMUSG00000028137	ENSDARG00000034668	ENSDARG00000006983	ENSGT00560000076837
ENSMUSG00000061981	ENSDARG00000069774	ENSDARG00000004830	ENSGT00560000077232
ENSMUSG00000016200	ENSDARG00000010934	ENSDARG00000001891	ENSGT00560000077240
ENSMUSG00000026159	ENSDARG00000030020	ENSDARG00000019526	ENSGT00560000077249
ENSMUSG00000074259	ENSDARG00000051827	ENSDARG00000089322	ENSGT00580000081380
ENSMUSG00000061816	ENSDARG00000017441	ENSDARG00000014196	ENSGT00590000082921
ENSMUSG00000054423	ENSDARG00000070567	ENSDARG00000043661	ENSGT00590000083094
ENSMUSG00000034377	ENSDARG00000063056	ENSDARG00000045911	ENSGT00610000085970
ENSMUSG00000056602	ENSDARG00000056001	ENSDARG00000013921	ENSGT00610000086058
ENSMUSG00000025784	ENSDARG00000076541	ENSDARG00000074394	ENSGT00610000086061
ENSMUSG00000035835	ENSDARG00000028552	ENSDARG00000010144	ENSGT00620000087654
ENSMUSG00000040563	ENSDARG00000007578	ENSDARG00000044600	ENSGT00620000087654
ENSMUSG00000061601	ENSDARG00000012482	ENSDARG00000063299	ENSGT00620000087961
ENSMUSG00000024238	ENSDARG00000013207	ENSDARG00000016788	ENSGT00630000089829
ENSMUSG00000032092	ENSDARG00000088742	ENSDARG00000027345	ENSGT00640000091161
ENSMUSG00000046480	ENSDARG00000062416	ENSDARG00000060319	ENSGT00640000091161
ENSMUSG00000030516	ENSDARG00000077506	ENSDARG00000079374	ENSGT00640000091263
ENSMUSG00000024812	ENSDARG00000023443	ENSDARG00000063309	ENSGT00640000091263
ENSMUSG00000025375	ENSDARG00000077477	ENSDARG00000078222	ENSGT00640000091449
ENSMUSG00000057335	ENSDARG00000058892	ENSDARG00000006128	ENSGT00640000091476
ENSMUSG00000072825	ENSDARG00000074636	ENSDARG00000078327	ENSGT00640000091476
ENSMUSG00000038301	ENSDARG00000040474	ENSDARG00000004405	ENSGT00650000093174
ENSMUSG00000021669	ENSDARG00000024325	ENSDARG00000063542	ENSGT00650000093230
ENSMUSG00000000631	ENSDARG00000075752	ENSDARG00000061862	ENSGT00650000093350
ENSMUSG00000021294	ENSDARG00000042368	ENSDARG00000015016	ENSGT00650000093360
ENSMUSG00000019996	ENSDARG00000078241	ENSDARG00000054844	ENSGT00660000095160
ENSMUSG00000029163	ENSDARG00000024537	ENSDARG00000026166	ENSGT00660000095314
ENSMUSG00000040964	ENSDARG00000088630	ENSDARG00000074244	ENSGT00670000097546
ENSMUSG00000038296	ENSDARG00000059438	ENSDARG00000030292	ENSGT00670000097647
ENSMUSG00000032180	ENSDARG00000017255	ENSDARG00000031325	ENSGT00670000097656
ENSMUSG00000014905	ENSDARG00000052072	ENSDARG00000016886	ENSGT00670000097756
ENSMUSG00000019866	ENSDARG00000031782	ENSDARG00000006060	ENSGT00670000097933
ENSMUSG00000052593	ENSDARG00000043213	ENSDARG00000093093	ENSGT00670000097974
ENSMUSG00000062127	ENSDARG00000053179	ENSDARG00000056091	ENSGT00680000099614
ENSMUSG00000012282	ENSDARG00000078507	ENSDARG00000052910	ENSGT00690000101857
ENSMUSG00000032883	ENSDARG00000032079	ENSDARG00000014674	ENSGT00690000102168
ENSMUSG00000026237	ENSDARG00000060884	ENSDARG00000003944	ENSGT00700000104070
ENSMUSG00000000538	ENSDARG00000056394	ENSDARG00000009217	ENSGT00700000104139
ENSMUSG00000021265	ENSDARG00000057352	ENSDARG00000059052	ENSGT00700000104295
ENSMUSG00000020740	ENSDARG00000058987	ENSDARG00000013479	ENSGT00700000104396
ENSMUSG00000060275	ENSDARG00000086585	ENSDARG00000077818	ENSGT00710000106660
ENSMUSG00000034224	ENSDARG00000054196	ENSDARG00000009482	ENSGT00710000106751
ENSMUSG00000025371	ENSDARG00000021202	ENSDARG00000097451	ENSGT00720000108863
ENSMUSG00000030403	ENSDARG00000059110	ENSDARG00000017105	ENSGT00730000110272
ENSMUSG00000045671	ENSDARG00000008372	ENSDARG00000052435	ENSGT00730000110272
ENSMUSG00000041459	ENSDARG00000040031	ENSDARG00000004452	ENSGT00730000110584
ENSMUSG00000034799	ENSDARG00000061829	ENSDARG00000091647	ENSGT00730000110590
ENSMUSG00000029636	ENSDARG00000059466	ENSDARG00000062948	ENSGT00730000110593
ENSMUSG00000042686	ENSDARG00000038826	ENSDARG00000058603	ENSGT00730000110639
ENSMUSG00000025318	ENSDARG00000059534	ENSDARG00000029590	ENSGT00730000110639
ENSMUSG00000053062	ENSDARG00000058996	ENSDARG00000079071	ENSGT00730000110678
ENSMUSG00000031990	ENSDARG00000061794	ENSDARG00000086037	ENSGT00730000110678
ENSMUSG00000025241	ENSDARG00000078022	ENSDARG00000056689	ENSGT00730000110715
ENSMUSG00000021390	ENSDARG00000044132	ENSDARG00000031489	ENSGT00730000110781
ENSMUSG00000023951	ENSDARG00000034700	ENSDARG00000045971	ENSGT00730000110791
ENSMUSG00000001552	ENSDARG00000059067	ENSDARG00000070787	ENSGT00730000110821
ENSMUSG00000068876	ENSDARG00000055607	ENSDARG00000058690	ENSGT00730000110843
ENSMUSG00000041895	ENSDARG00000040657	ENSDARG00000037357	ENSGT00730000110845
ENSMUSG00000041598	ENSDARG00000045036	ENSDARG00000039704	ENSGT00730000110869
ENSMUSG00000029684	ENSDARG00000014113	ENSDARG00000006283	ENSGT00730000110895
ENSMUSG00000026781	ENSDARG00000034883	ENSDARG00000058410	ENSGT00730000110900
ENSMUSG00000032322	ENSDARG00000053568	ENSDARG00000060860	ENSGT00730000110901
ENSMUSG00000022074	ENSDARG00000004392	ENSDARG00000004451	ENSGT00730000110985
ENSMUSG00000021638	ENSDARG00000003091	ENSDARG00000005108	ENSGT00730000110989
ENSMUSG00000004069	ENSDARG00000058494	ENSDARG00000095983	ENSGT00730000111013
ENSMUSG00000044067	ENSDARG00000004592	ENSDARG00000045383	ENSGT00730000111017
ENSMUSG00000010608	ENSDARG00000039266	ENSDARG00000006395	ENSGT00730000111019
ENSMUSG00000031993	ENSDARG00000061101	ENSDARG00000079931	ENSGT00730000111038
ENSMUSG00000033066	ENSDARG00000074443	ENSDARG00000088969	ENSGT00730000111074
ENSMUSG00000037625	ENSDARG00000030723	ENSDARG00000020031	ENSGT00730000111104
ENSMUSG00000029761	ENSDARG00000070314	ENSDARG00000086391	ENSGT00730000111125
ENSMUSG00000039646	ENSDARG00000076215	ENSDARG00000016293	ENSGT00730000111167
ENSMUSG00000038587	ENSDARG00000055678	ENSDARG00000091792	ENSGT00730000111244
ENSMUSG00000002985	ENSDARG00000086370	ENSDARG00000040295	ENSGT00730000111315
ENSMUSG00000071540	ENSDARG00000086970	ENSDARG00000086945	ENSGT00730000111333
ENSMUSG00000069662	ENSDARG00000008803	ENSDARG00000004049	ENSGT00730000111419
ENSMUSG00000032131	ENSDARG00000061047	ENSDARG00000078068	ENSGT00740000114855
ENSMUSG00000063952	ENSDARG00000070513	ENSDARG00000074238	ENSGT00740000114866
ENSMUSG00000022387	ENSDARG00000051798	ENSDARG00000013596	ENSGT00740000114866
ENSMUSG00000044177	ENSDARG00000059139	ENSDARG00000013460	ENSGT00740000114929
ENSMUSG00000027784	ENSDARG00000089641	ENSDARG00000063218	ENSGT00740000114971
ENSMUSG00000032446	ENSDARG00000019428	ENSDARG00000006640	ENSGT00740000115029
ENSMUSG00000030402	ENSDARG00000010231	ENSDARG00000057032	ENSGT00740000115384
ENSMUSG00000060371	ENSDARG00000088898	ENSDARG00000069766	ENSGT00740000115520
ENSMUSG00000045281	ENSDARG00000074826	ENSDARG00000077427	ENSGT00740000115632
ENSMUSG00000042677	ENSDARG00000016062	ENSDARG00000005271	ENSGT00750000117218
ENSMUSG00000030530	ENSDARG00000062909	ENSDARG00000070971	ENSGT00750000117358
ENSMUSG00000048897	ENSDARG00000005549	ENSDARG00000014680	ENSGT00750000117653
ENSMUSG00000014303	ENSDARG00000078388	ENSDARG00000073861	ENSGT00760000118771
ENSMUSG00000028051	ENSDARG00000076615	ENSDARG00000027192	ENSGT00760000118772
ENSMUSG00000067220	ENSDARG00000012125	ENSDARG00000029898	ENSGT00760000118772
ENSMUSG00000026114	ENSDARG00000012297	ENSDARG00000070726	ENSGT00760000118772
ENSMUSG00000056494	ENSDARG00000087082	ENSDARG00000061945	ENSGT00760000118772
ENSMUSG00000038319	ENSDARG00000060053	ENSDARG00000029881	ENSGT00760000118772
ENSMUSG00000034402	ENSDARG00000069117	ENSDARG00000043220	ENSGT00760000118772
ENSMUSG00000021478	ENSDARG00000038918	ENSDARG00000071640	ENSGT00760000118774
ENSMUSG00000052581	ENSDARG00000077562	ENSDARG00000080015	ENSGT00760000118777
ENSMUSG00000052581	ENSDARG00000078839	ENSDARG00000059535	ENSGT00760000118777
ENSMUSG00000047797	ENSDARG00000058064	ENSDARG00000035553	ENSGT00760000118780
ENSMUSG00000051056	ENSDARG00000057792	ENSDARG00000034930	ENSGT00760000118780
ENSMUSG00000030043	ENSDARG00000016025	ENSDARG00000035533	ENSGT00760000118781
ENSMUSG00000032243	ENSDARG00000036086	ENSDARG00000007950	ENSGT00760000118782
ENSMUSG00000001507	ENSDARG00000037917	ENSDARG00000012824	ENSGT00760000118782
ENSMUSG00000033446	ENSDARG00000062552	ENSDARG00000069441	ENSGT00760000118784
ENSMUSG00000079355	ENSDARG00000040133	ENSDARG00000078729	ENSGT00760000118785
ENSMUSG00000040899	ENSDARG00000087474	ENSDARG00000038968	ENSGT00760000118785
ENSMUSG00000035403	ENSDARG00000060081	ENSDARG00000060106	ENSGT00760000118786
ENSMUSG00000014773	ENSDARG00000010791	ENSDARG00000020219	ENSGT00760000118786
ENSMUSG00000028184	ENSDARG00000087965	ENSDARG00000069356	ENSGT00760000118787
ENSMUSG00000031298	ENSDARG00000088137	ENSDARG00000088937	ENSGT00760000118787
ENSMUSG00000029238	ENSDARG00000011703	ENSDARG00000003631	ENSGT00760000118788
ENSMUSG00000045875	ENSDARG00000027638	ENSDARG00000028725	ENSGT00760000118795
ENSMUSG00000050541	ENSDARG00000041173	ENSDARG00000011317	ENSGT00760000118795
ENSMUSG00000047904	ENSDARG00000069806	ENSDARG00000059090	ENSGT00760000118797
ENSMUSG00000044933	ENSDARG00000074958	ENSDARG00000014477	ENSGT00760000118797
ENSMUSG00000059456	ENSDARG00000039577	ENSDARG00000022841	ENSGT00760000118799
ENSMUSG00000018166	ENSDARG00000006202	ENSDARG00000036993	ENSGT00760000118799
ENSMUSG00000025127	ENSDARG00000070973	ENSDARG00000036272	ENSGT00760000118800
ENSMUSG00000032528	ENSDARG00000059058	ENSDARG00000028878	ENSGT00760000118800
ENSMUSG00000031861	ENSDARG00000042338	ENSDARG00000042561	ENSGT00760000118804
ENSMUSG00000004085	ENSDARG00000006978	ENSDARG00000044615	ENSGT00760000118807
ENSMUSG00000033544	ENSDARG00000003025	ENSDARG00000012071	ENSGT00760000118809
ENSMUSG00000000724	ENSDARG00000041141	ENSDARG00000053875	ENSGT00760000118812
ENSMUSG00000038135	ENSDARG00000087437	ENSDARG00000030411	ENSGT00760000118812
ENSMUSG00000096054	ENSDARG00000063068	ENSDARG00000009499	ENSGT00760000118813
ENSMUSG00000026674	ENSDARG00000058695	ENSDARG00000051913	ENSGT00760000118818
ENSMUSG00000059146	ENSDARG00000077228	ENSDARG00000063035	ENSGT00760000118818
ENSMUSG00000055254	ENSDARG00000059897	ENSDARG00000059645	ENSGT00760000118818
ENSMUSG00000005533	ENSDARG00000027423	ENSDARG00000034434	ENSGT00760000118818
