Mouse_gene_Ensembl_id	Zebrafish_ortholog_Ensembl_id	Ensembl_gene_tree_id
ENSMUSG00000037376	ENSDARG00000042344	ENSGT00390000008327
ENSMUSG00000024293	ENSDARG00000077057	ENSGT00390000008335
ENSMUSG00000022034	ENSDARG00000014685	ENSGT00390000008335
ENSMUSG00000029621	ENSDARG00000008383	ENSGT00390000008339
ENSMUSG00000027478	ENSDARG00000036791	ENSGT00390000008341
ENSMUSG00000029221	ENSDARG00000057272	ENSGT00390000008346
ENSMUSG00000020828	ENSDARG00000034262	ENSGT00390000008356
ENSMUSG00000026857	ENSDARG00000022399	ENSGT00390000008371
ENSMUSG00000040113	ENSDARG00000042033	ENSGT00390000008371
ENSMUSG00000040006	ENSDARG00000021975	ENSGT00390000008373
ENSMUSG00000010936	ENSDARG00000014303	ENSGT00390000008385
ENSMUSG00000022008	ENSDARG00000058287	ENSGT00390000008389
ENSMUSG00000085793	ENSDARG00000070833	ENSGT00390000008402
ENSMUSG00000042148	ENSDARG00000034309	ENSGT00390000008408
ENSMUSG00000029575	ENSDARG00000068344	ENSGT00390000008432
ENSMUSG00000029703	ENSDARG00000035147	ENSGT00390000008446
ENSMUSG00000037740	ENSDARG00000039719	ENSGT00390000008453
ENSMUSG00000025193	ENSDARG00000077306	ENSGT00390000008454
ENSMUSG00000066149	ENSDARG00000077815	ENSGT00390000008457
ENSMUSG00000050174	ENSDARG00000087321	ENSGT00390000008458
ENSMUSG00000019809	ENSDARG00000013973	ENSGT00390000008481
ENSMUSG00000070509	ENSDARG00000012248	ENSGT00390000008488
ENSMUSG00000002076	ENSDARG00000035080	ENSGT00390000008490
ENSMUSG00000027245	ENSDARG00000059725	ENSGT00390000008502
ENSMUSG00000044881	ENSDARG00000078974	ENSGT00390000008503
ENSMUSG00000015092	ENSDARG00000009950	ENSGT00390000008519
ENSMUSG00000024999	ENSDARG00000002487	ENSGT00390000008540
ENSMUSG00000025418	ENSDARG00000086265	ENSGT00390000008549
ENSMUSG00000026858	ENSDARG00000089357	ENSGT00390000008565
ENSMUSG00000054942	ENSDARG00000020596	ENSGT00390000008565
ENSMUSG00000028351	ENSDARG00000078302	ENSGT00390000008571
ENSMUSG00000004031	ENSDARG00000014302	ENSGT00390000008571
ENSMUSG00000024349	ENSDARG00000091058	ENSGT00390000008582
ENSMUSG00000034551	ENSDARG00000079382	ENSGT00390000008591
ENSMUSG00000026688	ENSDARG00000024143	ENSGT00390000008608
ENSMUSG00000037101	ENSDARG00000058885	ENSGT00390000008611
ENSMUSG00000021548	ENSDARG00000007657	ENSGT00390000008634
ENSMUSG00000004945	ENSDARG00000037070	ENSGT00390000008642
ENSMUSG00000015890	ENSDARG00000007366	ENSGT00390000008645
ENSMUSG00000030630	ENSDARG00000039743	ENSGT00390000008646
ENSMUSG00000005823	ENSDARG00000096651	ENSGT00390000008649
ENSMUSG00000023027	ENSDARG00000044301	ENSGT00390000008655
ENSMUSG00000063889	ENSDARG00000033660	ENSGT00390000008655
ENSMUSG00000042997	ENSDARG00000088063	ENSGT00390000008657
ENSMUSG00000037722	ENSDARG00000039892	ENSGT00390000008666
ENSMUSG00000030353	ENSDARG00000075274	ENSGT00390000008670
ENSMUSG00000065979	ENSDARG00000031968	ENSGT00390000008676
ENSMUSG00000061311	ENSDARG00000052122	ENSGT00390000008679
ENSMUSG00000028927	ENSDARG00000044167	ENSGT00390000008680
ENSMUSG00000030894	ENSDARG00000042793	ENSGT00390000008684
ENSMUSG00000010392	ENSDARG00000026654	ENSGT00390000008688
ENSMUSG00000040234	ENSDARG00000093658	ENSGT00390000008702
ENSMUSG00000013973	ENSDARG00000029783	ENSGT00390000008714
ENSMUSG00000026922	ENSDARG00000068437	ENSGT00390000008726
ENSMUSG00000021852	ENSDARG00000014487	ENSGT00390000008727
ENSMUSG00000004642	ENSDARG00000004926	ENSGT00390000008738
ENSMUSG00000021552	ENSDARG00000068123	ENSGT00390000008742
ENSMUSG00000062729	ENSDARG00000025200	ENSGT00390000008744
ENSMUSG00000031266	ENSDARG00000036155	ENSGT00390000008751
ENSMUSG00000057667	ENSDARG00000068828	ENSGT00390000008756
ENSMUSG00000030166	ENSDARG00000005274	ENSGT00390000008766
ENSMUSG00000037805	ENSDARG00000042905	ENSGT00390000008767
ENSMUSG00000035765	ENSDARG00000042555	ENSGT00390000008772
ENSMUSG00000001289	ENSDARG00000035043	ENSGT00390000008783
ENSMUSG00000025017	ENSDARG00000078285	ENSGT00390000008787
ENSMUSG00000022802	ENSDARG00000061265	ENSGT00390000008796
ENSMUSG00000024067	ENSDARG00000004427	ENSGT00390000008808
ENSMUSG00000032502	ENSDARG00000074004	ENSGT00390000008822
ENSMUSG00000044835	ENSDARG00000011326	ENSGT00390000008829
ENSMUSG00000037216	ENSDARG00000025233	ENSGT00390000008846
ENSMUSG00000029397	ENSDARG00000016710	ENSGT00390000008853
ENSMUSG00000031007	ENSDARG00000008735	ENSGT00390000008856
ENSMUSG00000041237	ENSDARG00000042010	ENSGT00390000008859
ENSMUSG00000028886	ENSDARG00000036100	ENSGT00390000008860
ENSMUSG00000017897	ENSDARG00000018984	ENSGT00390000008860
ENSMUSG00000025932	ENSDARG00000014259	ENSGT00390000008860
ENSMUSG00000010461	ENSDARG00000012397	ENSGT00390000008860
ENSMUSG00000038517	ENSDARG00000061473	ENSGT00390000008865
ENSMUSG00000053334	ENSDARG00000035595	ENSGT00390000008873
ENSMUSG00000032872	ENSDARG00000020898	ENSGT00390000008881
ENSMUSG00000048065	ENSDARG00000051925	ENSGT00390000008881
ENSMUSG00000042737	ENSDARG00000058650	ENSGT00390000008892
ENSMUSG00000071180	ENSDARG00000086699	ENSGT00390000008903
ENSMUSG00000037801	ENSDARG00000015476	ENSGT00390000008908
ENSMUSG00000047897	ENSDARG00000070535	ENSGT00390000008909
ENSMUSG00000045996	ENSDARG00000075616	ENSGT00390000008918
ENSMUSG00000062014	ENSDARG00000028327	ENSGT00390000008920
ENSMUSG00000033596	ENSDARG00000087752	ENSGT00390000008931
ENSMUSG00000026895	ENSDARG00000058041	ENSGT00390000008938
ENSMUSG00000048930	ENSDARG00000058220	ENSGT00390000008947
ENSMUSG00000027175	ENSDARG00000031890	ENSGT00390000008958
ENSMUSG00000020034	ENSDARG00000027316	ENSGT00390000008958
ENSMUSG00000024759	ENSDARG00000004270	ENSGT00390000008959
ENSMUSG00000021066	ENSDARG00000060481	ENSGT00390000008959
ENSMUSG00000041028	ENSDARG00000014573	ENSGT00390000008960
ENSMUSG00000024610	ENSDARG00000009087	ENSGT00390000008961
ENSMUSG00000028121	ENSDARG00000016981	ENSGT00390000008976
ENSMUSG00000057858	ENSDARG00000039699	ENSGT00390000008978
ENSMUSG00000025538	ENSDARG00000069497	ENSGT00390000008983
ENSMUSG00000030101	ENSDARG00000044203	ENSGT00390000008983
ENSMUSG00000051444	ENSDARG00000016112	ENSGT00390000008984
ENSMUSG00000026470	ENSDARG00000042742	ENSGT00390000008991
ENSMUSG00000026295	ENSDARG00000095590	ENSGT00390000009001
ENSMUSG00000024360	ENSDARG00000043976	ENSGT00390000009004
ENSMUSG00000024774	ENSDARG00000002298	ENSGT00390000009005
ENSMUSG00000073530	ENSDARG00000076020	ENSGT00390000009007
ENSMUSG00000047986	ENSDARG00000071215	ENSGT00390000009016
ENSMUSG00000059866	ENSDARG00000074501	ENSGT00390000009019
ENSMUSG00000028961	ENSDARG00000015343	ENSGT00390000009023
ENSMUSG00000056267	ENSDARG00000076965	ENSGT00390000009029
ENSMUSG00000023723	ENSDARG00000033973	ENSGT00390000009030
ENSMUSG00000064181	ENSDARG00000010073	ENSGT00390000009036
ENSMUSG00000033845	ENSDARG00000041338	ENSGT00390000009040
ENSMUSG00000004895	ENSDARG00000063252	ENSGT00390000009042
ENSMUSG00000034729	ENSDARG00000045913	ENSGT00390000009045
ENSMUSG00000020017	ENSDARG00000017444	ENSGT00390000009047
ENSMUSG00000021694	ENSDARG00000069283	ENSGT00390000009065
ENSMUSG00000030750	ENSDARG00000034662	ENSGT00390000009084
ENSMUSG00000022698	ENSDARG00000027825	ENSGT00390000009110
ENSMUSG00000021368	ENSDARG00000029581	ENSGT00390000009122
ENSMUSG00000026154	ENSDARG00000039390	ENSGT00390000009155
ENSMUSG00000086596	ENSDARG00000088277	ENSGT00390000009163
ENSMUSG00000019782	ENSDARG00000015930	ENSGT00390000009168
ENSMUSG00000003992	ENSDARG00000057395	ENSGT00390000009187
ENSMUSG00000042298	ENSDARG00000074435	ENSGT00390000009194
ENSMUSG00000021187	ENSDARG00000095067	ENSGT00390000009196
ENSMUSG00000031843	ENSDARG00000093007	ENSGT00390000009212
ENSMUSG00000029267	ENSDARG00000005590	ENSGT00390000009222
ENSMUSG00000024193	ENSDARG00000057439	ENSGT00390000009222
ENSMUSG00000026873	ENSDARG00000078050	ENSGT00390000009222
ENSMUSG00000063529	ENSDARG00000074630	ENSGT00390000009248
ENSMUSG00000032026	ENSDARG00000009806	ENSGT00390000009255
ENSMUSG00000028639	ENSDARG00000004757	ENSGT00390000009256
ENSMUSG00000084957	ENSDARG00000071046	ENSGT00390000009265
ENSMUSG00000033213	ENSDARG00000092903	ENSGT00390000009277
ENSMUSG00000028960	ENSDARG00000037017	ENSGT00390000009300
ENSMUSG00000059890	ENSDARG00000040571	ENSGT00390000009300
ENSMUSG00000042305	ENSDARG00000044899	ENSGT00390000009310
ENSMUSG00000022898	ENSDARG00000075650	ENSGT00390000009324
ENSMUSG00000071691	ENSDARG00000075203	ENSGT00390000009327
ENSMUSG00000031782	ENSDARG00000023583	ENSGT00390000009328
ENSMUSG00000007039	ENSDARG00000057841	ENSGT00390000009331
ENSMUSG00000028194	ENSDARG00000069591	ENSGT00390000009331
ENSMUSG00000072946	ENSDARG00000070673	ENSGT00390000009335
ENSMUSG00000028923	ENSDARG00000046002	ENSGT00390000009359
ENSMUSG00000040859	ENSDARG00000052623	ENSGT00390000009361
ENSMUSG00000019797	ENSDARG00000077614	ENSGT00390000009366
ENSMUSG00000048799	ENSDARG00000091326	ENSGT00390000009378
ENSMUSG00000024784	ENSDARG00000075403	ENSGT00390000009379
ENSMUSG00000029012	ENSDARG00000021579	ENSGT00390000009380
ENSMUSG00000050270	ENSDARG00000088981	ENSGT00390000009386
ENSMUSG00000003527	ENSDARG00000060922	ENSGT00390000009387
ENSMUSG00000035992	ENSDARG00000076417	ENSGT00390000009391
ENSMUSG00000026577	ENSDARG00000011299	ENSGT00390000009400
ENSMUSG00000039911	ENSDARG00000056515	ENSGT00390000009402
ENSMUSG00000038451	ENSDARG00000088985	ENSGT00390000009402
ENSMUSG00000035764	ENSDARG00000071492	ENSGT00390000009402
ENSMUSG00000036880	ENSDARG00000038881	ENSGT00390000009412
ENSMUSG00000024875	ENSDARG00000019636	ENSGT00390000009423
ENSMUSG00000030588	ENSDARG00000040505	ENSGT00390000009423
ENSMUSG00000042380	ENSDARG00000070358	ENSGT00390000009435
ENSMUSG00000036678	ENSDARG00000019547	ENSGT00390000009446
ENSMUSG00000030493	ENSDARG00000051731	ENSGT00390000009456
ENSMUSG00000026679	ENSDARG00000031248	ENSGT00390000009461
ENSMUSG00000035242	ENSDARG00000071403	ENSGT00390000009476
ENSMUSG00000040652	ENSDARG00000059815	ENSGT00390000009476
ENSMUSG00000040220	ENSDARG00000040871	ENSGT00390000009477
ENSMUSG00000045744	ENSDARG00000056247	ENSGT00390000009481
ENSMUSG00000029660	ENSDARG00000089689	ENSGT00390000009484
ENSMUSG00000034263	ENSDARG00000041429	ENSGT00390000009486
ENSMUSG00000056698	ENSDARG00000074742	ENSGT00390000009488
ENSMUSG00000030091	ENSDARG00000063333	ENSGT00390000009491
ENSMUSG00000042709	ENSDARG00000056270	ENSGT00390000009492
ENSMUSG00000036934	ENSDARG00000002506	ENSGT00390000009505
ENSMUSG00000044715	ENSDARG00000038099	ENSGT00390000009517
ENSMUSG00000031824	ENSDARG00000041599	ENSGT00390000009535
ENSMUSG00000037119	ENSDARG00000003320	ENSGT00390000009543
ENSMUSG00000021222	ENSDARG00000003197	ENSGT00390000009546
ENSMUSG00000020530	ENSDARG00000055086	ENSGT00390000009552
ENSMUSG00000035401	ENSDARG00000059059	ENSGT00390000009554
ENSMUSG00000035236	ENSDARG00000060865	ENSGT00390000009566
ENSMUSG00000045273	ENSDARG00000094892	ENSGT00390000009578
ENSMUSG00000020492	ENSDARG00000012947	ENSGT00390000009588
ENSMUSG00000028582	ENSDARG00000075120	ENSGT00390000009595
ENSMUSG00000036686	ENSDARG00000036281	ENSGT00390000009595
ENSMUSG00000028032	ENSDARG00000057099	ENSGT00390000009613
ENSMUSG00000029625	ENSDARG00000020217	ENSGT00390000009627
ENSMUSG00000022680	ENSDARG00000007549	ENSGT00390000009628
ENSMUSG00000030062	ENSDARG00000059323	ENSGT00390000009630
ENSMUSG00000056919	ENSDARG00000087369	ENSGT00390000009631
ENSMUSG00000039246	ENSDARG00000088764	ENSGT00390000009648
ENSMUSG00000028670	ENSDARG00000053656	ENSGT00390000009648
ENSMUSG00000025903	ENSDARG00000041337	ENSGT00390000009648
ENSMUSG00000000028	ENSDARG00000043720	ENSGT00390000009662
ENSMUSG00000024907	ENSDARG00000091377	ENSGT00390000009663
ENSMUSG00000029404	ENSDARG00000051971	ENSGT00390000009670
ENSMUSG00000022438	ENSDARG00000019117	ENSGT00390000009673
ENSMUSG00000022439	ENSDARG00000067711	ENSGT00390000009673
ENSMUSG00000013736	ENSDARG00000075297	ENSGT00390000009678
ENSMUSG00000011118	ENSDARG00000004627	ENSGT00390000009703
ENSMUSG00000042043	ENSDARG00000016754	ENSGT00390000009710
ENSMUSG00000040536	ENSDARG00000056566	ENSGT00390000009734
ENSMUSG00000031837	ENSDARG00000056745	ENSGT00390000009734
ENSMUSG00000022503	ENSDARG00000055472	ENSGT00390000009735
ENSMUSG00000035142	ENSDARG00000054821	ENSGT00390000009735
ENSMUSG00000044788	ENSDARG00000091503	ENSGT00390000009739
ENSMUSG00000027650	ENSDARG00000004114	ENSGT00390000009748
ENSMUSG00000044681	ENSDARG00000003757	ENSGT00390000009749
ENSMUSG00000025381	ENSDARG00000007207	ENSGT00390000009749
ENSMUSG00000018433	ENSDARG00000026767	ENSGT00390000009760
ENSMUSG00000026851	ENSDARG00000002220	ENSGT00390000009787
ENSMUSG00000026064	ENSDARG00000006242	ENSGT00390000009788
ENSMUSG00000026134	ENSDARG00000052721	ENSGT00390000009790
ENSMUSG00000059939	ENSDARG00000086336	ENSGT00390000009794
ENSMUSG00000052214	ENSDARG00000061761	ENSGT00390000009795
ENSMUSG00000003363	ENSDARG00000068199	ENSGT00390000009798
ENSMUSG00000027469	ENSDARG00000078654	ENSGT00390000009842
ENSMUSG00000067713	ENSDARG00000003818	ENSGT00390000009849
ENSMUSG00000030979	ENSDARG00000027491	ENSGT00390000009853
ENSMUSG00000009076	ENSDARG00000035434	ENSGT00390000009869
ENSMUSG00000038215	ENSDARG00000053106	ENSGT00390000009873
ENSMUSG00000047757	ENSDARG00000067596	ENSGT00390000009885
ENSMUSG00000024908	ENSDARG00000013379	ENSGT00390000009899
ENSMUSG00000067873	ENSDARG00000056649	ENSGT00390000009902
ENSMUSG00000055053	ENSDARG00000043210	ENSGT00390000009905
ENSMUSG00000028565	ENSDARG00000062420	ENSGT00390000009905
ENSMUSG00000003970	ENSDARG00000014867	ENSGT00390000009907
ENSMUSG00000037022	ENSDARG00000060383	ENSGT00390000009908
ENSMUSG00000018169	ENSDARG00000042925	ENSGT00390000009913
ENSMUSG00000029570	ENSDARG00000037879	ENSGT00390000009913
ENSMUSG00000025158	ENSDARG00000019746	ENSGT00390000009913
ENSMUSG00000074736	ENSDARG00000075204	ENSGT00390000009914
ENSMUSG00000046408	ENSDARG00000060187	ENSGT00390000009916
ENSMUSG00000052684	ENSDARG00000043531	ENSGT00390000009929
ENSMUSG00000004610	ENSDARG00000009250	ENSGT00390000009936
ENSMUSG00000000295	ENSDARG00000034957	ENSGT00390000009937
ENSMUSG00000026162	ENSDARG00000058893	ENSGT00390000009940
ENSMUSG00000000782	ENSDARG00000038672	ENSGT00390000009964
ENSMUSG00000027985	ENSDARG00000031894	ENSGT00390000009964
ENSMUSG00000027673	ENSDARG00000070824	ENSGT00390000009980
ENSMUSG00000026960	ENSDARG00000071013	ENSGT00390000009987
ENSMUSG00000039099	ENSDARG00000087191	ENSGT00390000009995
ENSMUSG00000031533	ENSDARG00000057855	ENSGT00390000010017
ENSMUSG00000042505	ENSDARG00000036092	ENSGT00390000010029
ENSMUSG00000020570	ENSDARG00000077356	ENSGT00390000010039
ENSMUSG00000028884	ENSDARG00000037188	ENSGT00390000010045
ENSMUSG00000021577	ENSDARG00000016721	ENSGT00390000010046
ENSMUSG00000020363	ENSDARG00000044094	ENSGT00390000010049
ENSMUSG00000021385	ENSDARG00000003446	ENSGT00390000010053
ENSMUSG00000029185	ENSDARG00000008287	ENSGT00390000010054
ENSMUSG00000020523	ENSDARG00000079508	ENSGT00390000010054
ENSMUSG00000095567	ENSDARG00000001754	ENSGT00390000010057
ENSMUSG00000025439	ENSDARG00000042615	ENSGT00390000010063
ENSMUSG00000030423	ENSDARG00000003263	ENSGT00390000010067
ENSMUSG00000034189	ENSDARG00000041736	ENSGT00390000010069
ENSMUSG00000033122	ENSDARG00000023287	ENSGT00390000010069
ENSMUSG00000026956	ENSDARG00000013082	ENSGT00390000010072
ENSMUSG00000034908	ENSDARG00000045976	ENSGT00390000010091
ENSMUSG00000055493	ENSDARG00000059044	ENSGT00390000010101
ENSMUSG00000041231	ENSDARG00000044492	ENSGT00390000010107
ENSMUSG00000019178	ENSDARG00000026338	ENSGT00390000010113
ENSMUSG00000074749	ENSDARG00000079753	ENSGT00390000010121
ENSMUSG00000031667	ENSDARG00000026862	ENSGT00390000010125
ENSMUSG00000038619	ENSDARG00000061644	ENSGT00390000010139
ENSMUSG00000057375	ENSDARG00000014474	ENSGT00390000010157
ENSMUSG00000032182	ENSDARG00000021399	ENSGT00390000010157
ENSMUSG00000061838	ENSDARG00000044914	ENSGT00390000010170
ENSMUSG00000022110	ENSDARG00000005359	ENSGT00390000010170
ENSMUSG00000029247	ENSDARG00000033539	ENSGT00390000010172
ENSMUSG00000012126	ENSDARG00000053828	ENSGT00390000010180
ENSMUSG00000030428	ENSDARG00000076804	ENSGT00390000010182
ENSMUSG00000007080	ENSDARG00000058533	ENSGT00390000010194
ENSMUSG00000010044	ENSDARG00000002406	ENSGT00390000010195
ENSMUSG00000050471	ENSDARG00000078983	ENSGT00390000010215
ENSMUSG00000071533	ENSDARG00000037713	ENSGT00390000010218
ENSMUSG00000028307	ENSDARG00000053684	ENSGT00390000010235
ENSMUSG00000017390	ENSDARG00000057661	ENSGT00390000010235
ENSMUSG00000022706	ENSDARG00000043554	ENSGT00390000010239
ENSMUSG00000030177	ENSDARG00000014432	ENSGT00390000010251
ENSMUSG00000033102	ENSDARG00000021483	ENSGT00390000010254
ENSMUSG00000029787	ENSDARG00000055538	ENSGT00390000010255
ENSMUSG00000006764	ENSDARG00000057239	ENSGT00390000010268
ENSMUSG00000020051	ENSDARG00000020143	ENSGT00390000010268
ENSMUSG00000000214	ENSDARG00000030621	ENSGT00390000010268
ENSMUSG00000042035	ENSDARG00000077002	ENSGT00390000010278
ENSMUSG00000038034	ENSDARG00000038467	ENSGT00390000010278
ENSMUSG00000021707	ENSDARG00000004251	ENSGT00390000010283
ENSMUSG00000028218	ENSDARG00000004436	ENSGT00390000010285
ENSMUSG00000022663	ENSDARG00000009350	ENSGT00390000010308
ENSMUSG00000026032	ENSDARG00000075709	ENSGT00390000010316
ENSMUSG00000029110	ENSDARG00000090993	ENSGT00390000010318
ENSMUSG00000022993	ENSDARG00000096897	ENSGT00390000010327
ENSMUSG00000032398	ENSDARG00000062476	ENSGT00390000010331
ENSMUSG00000031910	ENSDARG00000057210	ENSGT00390000010337
ENSMUSG00000022367	ENSDARG00000036987	ENSGT00390000010337
ENSMUSG00000029415	ENSDARG00000068903	ENSGT00390000010355
ENSMUSG00000031631	ENSDARG00000056381	ENSGT00390000010356
ENSMUSG00000016541	ENSDARG00000008439	ENSGT00390000010377
ENSMUSG00000019984	ENSDARG00000029157	ENSGT00390000010380
ENSMUSG00000042742	ENSDARG00000062181	ENSGT00390000010382
ENSMUSG00000027746	ENSDARG00000043857	ENSGT00390000010391
ENSMUSG00000042225	ENSDARG00000012892	ENSGT00390000010397
ENSMUSG00000033020	ENSDARG00000036625	ENSGT00390000010415
ENSMUSG00000021302	ENSDARG00000023627	ENSGT00390000010417
ENSMUSG00000021039	ENSDARG00000091563	ENSGT00390000010423
ENSMUSG00000031834	ENSDARG00000018060	ENSGT00390000010431
ENSMUSG00000029186	ENSDARG00000013881	ENSGT00390000010434
ENSMUSG00000028478	ENSDARG00000045618	ENSGT00390000010441
ENSMUSG00000047547	ENSDARG00000052368	ENSGT00390000010441
ENSMUSG00000031575	ENSDARG00000060392	ENSGT00390000010474
ENSMUSG00000062981	ENSDARG00000079391	ENSGT00390000010491
ENSMUSG00000024253	ENSDARG00000039770	ENSGT00390000010498
ENSMUSG00000024309	ENSDARG00000037108	ENSGT00390000010512
ENSMUSG00000021728	ENSDARG00000059485	ENSGT00390000010516
ENSMUSG00000003380	ENSDARG00000004171	ENSGT00390000010549
ENSMUSG00000028954	ENSDARG00000061417	ENSGT00390000010557
ENSMUSG00000043432	ENSDARG00000062374	ENSGT00390000010577
ENSMUSG00000046909	ENSDARG00000059469	ENSGT00390000010581
ENSMUSG00000030051	ENSDARG00000086579	ENSGT00390000010591
ENSMUSG00000032717	ENSDARG00000089564	ENSGT00390000010600
ENSMUSG00000049488	ENSDARG00000076752	ENSGT00390000010606
ENSMUSG00000001942	ENSDARG00000040527	ENSGT00390000010608
ENSMUSG00000050493	ENSDARG00000022454	ENSGT00390000010627
ENSMUSG00000035095	ENSDARG00000023952	ENSGT00390000010627
ENSMUSG00000037916	ENSDARG00000036438	ENSGT00390000010641
ENSMUSG00000029535	ENSDARG00000014963	ENSGT00390000010642
ENSMUSG00000030527	ENSDARG00000052114	ENSGT00390000010652
ENSMUSG00000057531	ENSDARG00000055206	ENSGT00390000010667
ENSMUSG00000033653	ENSDARG00000060477	ENSGT00390000010672
ENSMUSG00000006221	ENSDARG00000011538	ENSGT00390000010674
ENSMUSG00000032407	ENSDARG00000061490	ENSGT00390000010687
ENSMUSG00000005951	ENSDARG00000002355	ENSGT00390000010693
ENSMUSG00000030059	ENSDARG00000057997	ENSGT00390000010697
ENSMUSG00000030879	ENSDARG00000075677	ENSGT00390000010698
ENSMUSG00000035370	ENSDARG00000005640	ENSGT00390000010706
ENSMUSG00000000561	ENSDARG00000089591	ENSGT00390000010711
ENSMUSG00000001383	ENSDARG00000004956	ENSGT00390000010712
ENSMUSG00000018481	ENSDARG00000007566	ENSGT00390000010722
ENSMUSG00000011658	ENSDARG00000079730	ENSGT00390000010727
ENSMUSG00000029649	ENSDARG00000032296	ENSGT00390000010734
ENSMUSG00000038954	ENSDARG00000002776	ENSGT00390000010738
ENSMUSG00000047250	ENSDARG00000052148	ENSGT00390000010743
ENSMUSG00000025731	ENSDARG00000027461	ENSGT00390000010750
ENSMUSG00000026574	ENSDARG00000056178	ENSGT00390000010760
ENSMUSG00000031832	ENSDARG00000096310	ENSGT00390000010767
ENSMUSG00000021114	ENSDARG00000011175	ENSGT00390000010770
ENSMUSG00000027809	ENSDARG00000038834	ENSGT00390000010773
ENSMUSG00000035351	ENSDARG00000094191	ENSGT00390000010777
ENSMUSG00000051007	ENSDARG00000053609	ENSGT00390000010778
ENSMUSG00000034940	ENSDARG00000073926	ENSGT00390000010789
ENSMUSG00000035769	ENSDARG00000043260	ENSGT00390000010821
ENSMUSG00000020526	ENSDARG00000023950	ENSGT00390000010822
ENSMUSG00000022431	ENSDARG00000075177	ENSGT00390000010825
ENSMUSG00000038214	ENSDARG00000076903	ENSGT00390000010827
ENSMUSG00000055917	ENSDARG00000025346	ENSGT00390000010852
ENSMUSG00000008153	ENSDARG00000073883	ENSGT00390000010858
ENSMUSG00000028186	ENSDARG00000007024	ENSGT00390000010863
ENSMUSG00000021607	ENSDARG00000070607	ENSGT00390000010866
ENSMUSG00000026088	ENSDARG00000044766	ENSGT00390000010868
ENSMUSG00000021357	ENSDARG00000055610	ENSGT00390000010872
ENSMUSG00000038622	ENSDARG00000029459	ENSGT00390000010887
ENSMUSG00000014748	ENSDARG00000044584	ENSGT00390000010888
ENSMUSG00000043572	ENSDARG00000044404	ENSGT00390000010922
ENSMUSG00000027502	ENSDARG00000040607	ENSGT00390000010923
ENSMUSG00000021252	ENSDARG00000070429	ENSGT00390000010925
ENSMUSG00000020562	ENSDARG00000092825	ENSGT00390000010932
ENSMUSG00000041949	ENSDARG00000034001	ENSGT00390000010938
ENSMUSG00000031864	ENSDARG00000043031	ENSGT00390000010950
ENSMUSG00000035439	ENSDARG00000091031	ENSGT00390000010974
ENSMUSG00000071103	ENSDARG00000037142	ENSGT00390000010980
ENSMUSG00000019590	ENSDARG00000038176	ENSGT00390000010986
ENSMUSG00000027015	ENSDARG00000095577	ENSGT00390000010986
ENSMUSG00000027193	ENSDARG00000033597	ENSGT00390000010991
ENSMUSG00000027800	ENSDARG00000060668	ENSGT00390000010992
ENSMUSG00000027801	ENSDARG00000040747	ENSGT00390000010992
ENSMUSG00000003464	ENSDARG00000004891	ENSGT00390000010993
ENSMUSG00000017453	ENSDARG00000055591	ENSGT00390000011000
ENSMUSG00000006587	ENSDARG00000031243	ENSGT00390000011027
ENSMUSG00000022676	ENSDARG00000040046	ENSGT00390000011027
ENSMUSG00000046679	ENSDARG00000059636	ENSGT00390000011031
ENSMUSG00000023826	ENSDARG00000021555	ENSGT00390000011034
ENSMUSG00000075229	ENSDARG00000045351	ENSGT00390000011053
ENSMUSG00000047459	ENSDARG00000021582	ENSGT00390000011067
ENSMUSG00000001999	ENSDARG00000059857	ENSGT00390000011072
ENSMUSG00000022787	ENSDARG00000079659	ENSGT00390000011073
ENSMUSG00000008301	ENSDARG00000044298	ENSGT00390000011084
ENSMUSG00000030417	ENSDARG00000026072	ENSGT00390000011085
ENSMUSG00000060923	ENSDARG00000086271	ENSGT00390000011103
ENSMUSG00000028873	ENSDARG00000043137	ENSGT00390000011115
ENSMUSG00000025316	ENSDARG00000017562	ENSGT00390000011116
ENSMUSG00000022350	ENSDARG00000017190	ENSGT00390000011137
ENSMUSG00000036944	ENSDARG00000079784	ENSGT00390000011144
ENSMUSG00000033632	ENSDARG00000070040	ENSGT00390000011152
ENSMUSG00000034007	ENSDARG00000023104	ENSGT00390000011159
ENSMUSG00000090258	ENSDARG00000010831	ENSGT00390000011163
ENSMUSG00000034000	ENSDARG00000057677	ENSGT00390000011171
ENSMUSG00000039105	ENSDARG00000022315	ENSGT00390000011172
ENSMUSG00000048655	ENSDARG00000089570	ENSGT00390000011174
ENSMUSG00000075054	ENSDARG00000045422	ENSGT00390000011176
ENSMUSG00000024841	ENSDARG00000016280	ENSGT00390000011180
ENSMUSG00000060679	ENSDARG00000061505	ENSGT00390000011204
ENSMUSG00000029998	ENSDARG00000024037	ENSGT00390000011206
ENSMUSG00000039096	ENSDARG00000077698	ENSGT00390000011216
ENSMUSG00000018659	ENSDARG00000017612	ENSGT00390000011219
ENSMUSG00000037363	ENSDARG00000077515	ENSGT00390000011225
ENSMUSG00000005299	ENSDARG00000056978	ENSGT00390000011225
ENSMUSG00000026655	ENSDARG00000026865	ENSGT00390000011228
ENSMUSG00000021750	ENSDARG00000086300	ENSGT00390000011228
ENSMUSG00000030254	ENSDARG00000027938	ENSGT00390000011230
ENSMUSG00000043885	ENSDARG00000039661	ENSGT00390000011245
