ENSG00000163697	ENSDARG00000061880	ENSDARG00000026651	ENSGT00390000000002
ENSG00000006016	ENSDARG00000024365	ENSDARG00000006368	ENSGT00530000063112
ENSG00000112964	ENSDARG00000054771	ENSDARG00000007671	ENSGT00530000063112
ENSG00000113494	ENSDARG00000045955	ENSDARG00000016570	ENSGT00530000063112
ENSG00000087502	ENSDARG00000051936	ENSDARG00000020224	ENSGT00530000063113
ENSG00000117139	ENSDARG00000003098	ENSDARG00000057093	ENSGT00530000063118
ENSG00000185000	ENSDARG00000031465	ENSDARG00000054914	ENSGT00530000063122
ENSG00000121957	ENSDARG00000025027	ENSDARG00000017311	ENSGT00530000063126
ENSG00000144824	ENSDARG00000074843	ENSDARG00000079889	ENSGT00530000063148
ENSG00000100523	ENSDARG00000086808	ENSDARG00000037042	ENSGT00530000063155
ENSG00000127124	ENSDARG00000075928	ENSDARG00000037154	ENSGT00530000063161
ENSG00000172399	ENSDARG00000012311	ENSDARG00000037266	ENSGT00530000063184
ENSG00000177791	ENSDARG00000056209	ENSDARG00000071445	ENSGT00530000063184
ENSG00000133884	ENSDARG00000012219	ENSDARG00000037291	ENSGT00530000063194
ENSG00000196588	ENSDARG00000075867	ENSDARG00000076229	ENSGT00530000063195
ENSG00000156675	ENSDARG00000046124	ENSDARG00000036462	ENSGT00530000063203
ENSG00000135631	ENSDARG00000094510	ENSDARG00000088248	ENSGT00530000063203
ENSG00000004660	ENSDARG00000015134	ENSDARG00000035452	ENSGT00530000063214
ENSG00000106052	ENSDARG00000056856	ENSDARG00000034062	ENSGT00530000063216
ENSG00000188158	ENSDARG00000079977	ENSDARG00000070227	ENSGT00530000063248
ENSG00000142192	ENSDARG00000059036	ENSDARG00000055543	ENSGT00530000063252
ENSG00000106049	ENSDARG00000036236	ENSDARG00000007959	ENSGT00530000063270
ENSG00000156030	ENSDARG00000011445	ENSDARG00000053864	ENSGT00530000063277
ENSG00000135842	ENSDARG00000023053	ENSDARG00000042055	ENSGT00530000063284
ENSG00000099308	ENSDARG00000061725	ENSDARG00000086505	ENSGT00530000063286
ENSG00000105613	ENSDARG00000027497	ENSDARG00000088789	ENSGT00530000063286
ENSG00000124205	ENSDARG00000086669	ENSDARG00000070925	ENSGT00530000063310
ENSG00000170044	ENSDARG00000061835	ENSDARG00000063372	ENSGT00530000063315
ENSG00000157152	ENSDARG00000078971	ENSDARG00000045945	ENSGT00530000063319
ENSG00000078618	ENSDARG00000019596	ENSDARG00000062372	ENSGT00530000063327
ENSG00000186765	ENSDARG00000074396	ENSDARG00000059574	ENSGT00530000063373
ENSG00000154114	ENSDARG00000002682	ENSDARG00000019525	ENSGT00530000063405
ENSG00000101040	ENSDARG00000007601	ENSDARG00000011932	ENSGT00530000063428
ENSG00000170017	ENSDARG00000058538	ENSDARG00000026531	ENSGT00530000063457
ENSG00000122778	ENSDARG00000063361	ENSDARG00000063008	ENSGT00530000063472
ENSG00000137492	ENSDARG00000042489	ENSDARG00000020964	ENSGT00530000063516
ENSG00000136451	ENSDARG00000061030	ENSDARG00000008247	ENSGT00530000063522
ENSG00000138468	ENSDARG00000062148	ENSDARG00000061138	ENSGT00530000063531
ENSG00000119866	ENSDARG00000061352	ENSDARG00000063153	ENSGT00530000063542
ENSG00000198944	ENSDARG00000079125	ENSDARG00000077861	ENSGT00530000063547
ENSG00000165478	ENSDARG00000077945	ENSDARG00000056934	ENSGT00530000063550
ENSG00000154175	ENSDARG00000071095	ENSDARG00000062156	ENSGT00530000063558
ENSG00000124831	ENSDARG00000095170	ENSDARG00000030012	ENSGT00530000063564
ENSG00000096063	ENSDARG00000031560	ENSDARG00000073997	ENSGT00530000063566
ENSG00000100078	ENSDARG00000008948	ENSDARG00000078718	ENSGT00530000063569
ENSG00000105928	ENSDARG00000086762	ENSDARG00000040485	ENSGT00530000063574
ENSG00000156471	ENSDARG00000012588	ENSDARG00000036114	ENSGT00530000063576
ENSG00000205464	ENSDARG00000090963	ENSDARG00000091509	ENSGT00530000063584
ENSG00000071553	ENSDARG00000037153	ENSDARG00000041417	ENSGT00530000063584
ENSG00000007062	ENSDARG00000034007	ENSDARG00000039966	ENSGT00530000063586
ENSG00000141433	ENSDARG00000004015	ENSDARG00000027740	ENSGT00530000063592
ENSG00000157741	ENSDARG00000052315	ENSDARG00000063062	ENSGT00530000063595
ENSG00000082438	ENSDARG00000088979	ENSDARG00000089858	ENSGT00530000063608
ENSG00000131378	ENSDARG00000086499	ENSDARG00000070831	ENSGT00530000063609
ENSG00000179526	ENSDARG00000059871	ENSDARG00000076995	ENSGT00530000063620
ENSG00000010282	ENSDARG00000039051	ENSDARG00000005139	ENSGT00530000063629
ENSG00000181827	ENSDARG00000077237	ENSDARG00000074522	ENSGT00530000063636
ENSG00000123094	ENSDARG00000045596	ENSDARG00000045485	ENSGT00530000063648
ENSG00000184831	ENSDARG00000026444	ENSDARG00000046154	ENSGT00530000063666
ENSG00000088448	ENSDARG00000004771	ENSDARG00000037100	ENSGT00530000063667
ENSG00000111879	ENSDARG00000014081	ENSDARG00000002635	ENSGT00530000063669
ENSG00000100106	ENSDARG00000006385	ENSDARG00000075870	ENSGT00530000063678
ENSG00000163946	ENSDARG00000013346	ENSDARG00000089893	ENSGT00530000063735
ENSG00000109072	ENSDARG00000053831	ENSDARG00000055388	ENSGT00530000063751
ENSG00000166317	ENSDARG00000077293	ENSDARG00000078696	ENSGT00530000063754
ENSG00000172403	ENSDARG00000077157	ENSDARG00000079675	ENSGT00530000063754
ENSG00000023902	ENSDARG00000061191	ENSDARG00000077499	ENSGT00530000063760
ENSG00000136383	ENSDARG00000090375	ENSDARG00000078989	ENSGT00530000063799
ENSG00000128272	ENSDARG00000038141	ENSDARG00000039515	ENSGT00530000063801
ENSG00000182327	ENSDARG00000067889	ENSDARG00000054218	ENSGT00530000063818
ENSG00000114019	ENSDARG00000061923	ENSDARG00000061948	ENSGT00530000063846
ENSG00000185614	ENSDARG00000070404	ENSDARG00000070360	ENSGT00530000063849
ENSG00000133110	ENSDARG00000043806	ENSDARG00000061219	ENSGT00530000063860
ENSG00000164841	ENSDARG00000086535	ENSDARG00000091623	ENSGT00530000063880
ENSG00000080854	ENSDARG00000069467	ENSDARG00000033845	ENSGT00530000063887
ENSG00000073969	ENSDARG00000038991	ENSDARG00000007654	ENSGT00530000064085
ENSG00000197579	ENSDARG00000039784	ENSDARG00000037260	ENSGT00530000064170
ENSG00000112983	ENSDARG00000055999	ENSDARG00000025071	ENSGT00530000064262
ENSG00000128165	ENSDARG00000078875	ENSDARG00000045708	ENSGT00530000064523
ENSG00000140522	ENSDARG00000012504	ENSDARG00000045808	ENSGT00550000074253
ENSG00000188130	ENSDARG00000042021	ENSDARG00000006409	ENSGT00550000074271
ENSG00000156599	ENSDARG00000087417	ENSDARG00000016263	ENSGT00550000074293
ENSG00000179104	ENSDARG00000045753	ENSDARG00000035273	ENSGT00550000074327
ENSG00000265972	ENSDARG00000070000	ENSDARG00000036107	ENSGT00550000074356
ENSG00000127191	ENSDARG00000030173	ENSDARG00000078378	ENSGT00550000074359
ENSG00000109654	ENSDARG00000076174	ENSDARG00000031817	ENSGT00550000074377
ENSG00000152939	ENSDARG00000025076	ENSDARG00000061651	ENSGT00550000074378
ENSG00000122012	ENSDARG00000086965	ENSDARG00000059997	ENSGT00550000074384
ENSG00000167037	ENSDARG00000075376	ENSDARG00000028857	ENSGT00550000074386
ENSG00000089094	ENSDARG00000046010	ENSDARG00000036593	ENSGT00550000074396
ENSG00000156273	ENSDARG00000002196	ENSDARG00000062553	ENSGT00550000074399
ENSG00000154227	ENSDARG00000036337	ENSDARG00000078541	ENSGT00550000074401
ENSG00000143418	ENSDARG00000013704	ENSDARG00000058992	ENSGT00550000074401
ENSG00000090661	ENSDARG00000018619	ENSDARG00000031387	ENSGT00550000074401
ENSG00000033800	ENSDARG00000062445	ENSDARG00000036094	ENSGT00550000074410
ENSG00000197381	ENSDARG00000041609	ENSDARG00000003544	ENSGT00550000074412
ENSG00000175471	ENSDARG00000076404	ENSDARG00000060871	ENSGT00550000074417
ENSG00000139641	ENSDARG00000034714	ENSDARG00000014239	ENSGT00550000074417
ENSG00000130304	ENSDARG00000038352	ENSDARG00000006240	ENSGT00550000074420
ENSG00000121774	ENSDARG00000052856	ENSDARG00000070475	ENSGT00550000074434
ENSG00000133115	ENSDARG00000079914	ENSDARG00000057035	ENSGT00550000074454
ENSG00000184937	ENSDARG00000031420	ENSDARG00000007990	ENSGT00550000074455
ENSG00000115457	ENSDARG00000052470	ENSDARG00000031422	ENSGT00550000074457
ENSG00000146678	ENSDARG00000038666	ENSDARG00000014947	ENSGT00550000074457
ENSG00000167779	ENSDARG00000070941	ENSDARG00000090833	ENSGT00550000074457
ENSG00000134686	ENSDARG00000056695	ENSDARG00000013224	ENSGT00550000074459
ENSG00000173889	ENSDARG00000074604	ENSDARG00000079167	ENSGT00550000074459
ENSG00000148341	ENSDARG00000008983	ENSDARG00000035470	ENSGT00550000074464
ENSG00000107295	ENSDARG00000023600	ENSDARG00000039901	ENSGT00550000074464
ENSG00000141985	ENSDARG00000067958	ENSDARG00000002642	ENSGT00550000074464
ENSG00000140332	ENSDARG00000002787	ENSDARG00000069006	ENSGT00550000074465
ENSG00000112936	ENSDARG00000057121	ENSDARG00000042172	ENSGT00550000074478
ENSG00000197753	ENSDARG00000056458	ENSDARG00000045023	ENSGT00550000074479
ENSG00000141485	ENSDARG00000039999	ENSDARG00000077691	ENSGT00550000074480
ENSG00000136504	ENSDARG00000031770	ENSDARG00000070371	ENSGT00550000074503
ENSG00000137801	ENSDARG00000063430	ENSDARG00000010785	ENSGT00550000074507
ENSG00000113296	ENSDARG00000020072	ENSDARG00000052631	ENSGT00550000074507
ENSG00000011304	ENSDARG00000031907	ENSDARG00000019362	ENSGT00550000074508
ENSG00000117569	ENSDARG00000015901	ENSDARG00000015230	ENSGT00550000074508
ENSG00000137968	ENSDARG00000017398	ENSDARG00000057419	ENSGT00550000074521
ENSG00000168528	ENSDARG00000056532	ENSDARG00000053425	ENSGT00550000074522
ENSG00000163485	ENSDARG00000075694	ENSDARG00000070056	ENSGT00550000074524
ENSG00000100906	ENSDARG00000007693	ENSDARG00000005481	ENSGT00550000074527
ENSG00000069849	ENSDARG00000042837	ENSDARG00000015790	ENSGT00550000074530
ENSG00000129244	ENSDARG00000034424	ENSDARG00000013605	ENSGT00550000074530
ENSG00000143153	ENSDARG00000076833	ENSDARG00000013144	ENSGT00550000074530
ENSG00000173166	ENSDARG00000061732	ENSDARG00000006301	ENSGT00550000074537
ENSG00000076685	ENSDARG00000058231	ENSDARG00000039399	ENSGT00550000074539
ENSG00000111716	ENSDARG00000071076	ENSDARG00000019644	ENSGT00550000074541
ENSG00000130787	ENSDARG00000060627	ENSDARG00000059484	ENSGT00550000074542
ENSG00000171914	ENSDARG00000044271	ENSDARG00000017901	ENSGT00550000074542
ENSG00000183853	ENSDARG00000056998	ENSDARG00000001634	ENSGT00550000074545
ENSG00000105605	ENSDARG00000063006	ENSDARG00000070624	ENSGT00550000074547
ENSG00000142408	ENSDARG00000070626	ENSDARG00000020450	ENSGT00550000074547
ENSG00000075461	ENSDARG00000039238	ENSDARG00000074669	ENSGT00550000074547
ENSG00000256463	ENSDARG00000057586	ENSDARG00000079613	ENSGT00550000074555
ENSG00000108309	ENSDARG00000007245	ENSDARG00000002546	ENSGT00550000074558
ENSG00000104879	ENSDARG00000040565	ENSDARG00000035327	ENSGT00550000074561
ENSG00000102908	ENSDARG00000020872	ENSDARG00000014022	ENSGT00550000074562
ENSG00000143797	ENSDARG00000031845	ENSDARG00000042551	ENSGT00550000074565
ENSG00000139780	ENSDARG00000078878	ENSDARG00000055437	ENSGT00550000074572
ENSG00000005882	ENSDARG00000020876	ENSDARG00000059054	ENSGT00550000074574
ENSG00000117713	ENSDARG00000079879	ENSDARG00000060073	ENSGT00550000074575
ENSG00000129657	ENSDARG00000086013	ENSDARG00000019301	ENSGT00550000074580
ENSG00000099998	ENSDARG00000078258	ENSDARG00000052045	ENSGT00550000074591
ENSG00000130479	ENSDARG00000060326	ENSDARG00000060805	ENSGT00550000074593
ENSG00000166963	ENSDARG00000022045	ENSDARG00000059601	ENSGT00550000074593
ENSG00000113282	ENSDARG00000089914	ENSDARG00000025535	ENSGT00550000074611
ENSG00000049283	ENSDARG00000078953	ENSDARG00000004633	ENSGT00550000074611
ENSG00000140740	ENSDARG00000071691	ENSDARG00000014794	ENSGT00550000074666
ENSG00000116954	ENSDARG00000069829	ENSDARG00000059154	ENSGT00550000074708
ENSG00000163050	ENSDARG00000020123	ENSDARG00000032426	ENSGT00550000074739
ENSG00000198805	ENSDARG00000019553	ENSDARG00000078619	ENSGT00550000074740
ENSG00000086065	ENSDARG00000038855	ENSDARG00000041900	ENSGT00550000074817
ENSG00000136758	ENSDARG00000075192	ENSDARG00000087253	ENSGT00550000074836
ENSG00000144659	ENSDARG00000074533	ENSDARG00000059805	ENSGT00550000075117
ENSG00000159409	ENSDARG00000034668	ENSDARG00000006983	ENSGT00560000076837
ENSG00000132589	ENSDARG00000069774	ENSDARG00000004830	ENSGT00560000077232
ENSG00000143469	ENSDARG00000010934	ENSDARG00000001891	ENSGT00560000077240
ENSG00000173744	ENSDARG00000030020	ENSDARG00000019526	ENSGT00560000077249
ENSG00000175318	ENSDARG00000051827	ENSDARG00000089322	ENSGT00580000081380
ENSG00000168530	ENSDARG00000014196	ENSDARG00000017441	ENSGT00590000082921
ENSG00000163618	ENSDARG00000043661	ENSDARG00000070567	ENSGT00590000083094
ENSG00000130338	ENSDARG00000063056	ENSDARG00000045911	ENSGT00610000085970
ENSG00000073910	ENSDARG00000056001	ENSDARG00000013921	ENSGT00610000086058
ENSG00000163815	ENSDARG00000076541	ENSDARG00000074394	ENSGT00610000086061
ENSG00000105520	ENSDARG00000007578	ENSDARG00000044600	ENSGT00620000087654
ENSG00000129951	ENSDARG00000028552	ENSDARG00000010144	ENSGT00620000087654
ENSG00000186472	ENSDARG00000063299	ENSDARG00000012482	ENSGT00620000087961
ENSG00000148516	ENSDARG00000013207	ENSDARG00000016788	ENSGT00630000089829
ENSG00000149573	ENSDARG00000088742	ENSDARG00000027345	ENSGT00640000091161
ENSG00000177098	ENSDARG00000062416	ENSDARG00000060319	ENSGT00640000091161
ENSG00000119139	ENSDARG00000063309	ENSDARG00000023443	ENSGT00640000091263
ENSG00000104067	ENSDARG00000077506	ENSDARG00000079374	ENSGT00640000091263
ENSG00000181409	ENSDARG00000078222	ENSDARG00000077477	ENSGT00640000091449
ENSG00000143702	ENSDARG00000006128	ENSDARG00000058892	ENSGT00640000091476
ENSG00000099814	ENSDARG00000078327	ENSDARG00000074636	ENSGT00640000091476
ENSG00000086300	ENSDARG00000040474	ENSDARG00000004405	ENSGT00650000093174
ENSG00000113163	ENSDARG00000063542	ENSDARG00000024325	ENSGT00650000093230
ENSG00000196535	ENSDARG00000075752	ENSDARG00000061862	ENSGT00650000093350
ENSG00000066735	ENSDARG00000015016	ENSDARG00000042368	ENSGT00650000093360
ENSG00000135525	ENSDARG00000054844	ENSDARG00000078241	ENSGT00660000095160
ENSG00000138080	ENSDARG00000026166	ENSDARG00000024537	ENSGT00660000095314
ENSG00000074964	ENSDARG00000074244	ENSDARG00000088630	ENSGT00670000097546
ENSG00000110328	ENSDARG00000059438	ENSDARG00000030292	ENSGT00670000097647
ENSG00000099203	ENSDARG00000031325	ENSDARG00000017255	ENSGT00670000097656
ENSG00000128590	ENSDARG00000052072	ENSDARG00000016886	ENSGT00670000097756
ENSG00000112297	ENSDARG00000006060	ENSDARG00000031782	ENSGT00670000097933
ENSG00000151694	ENSDARG00000043213	ENSDARG00000093093	ENSGT00670000097974
ENSG00000143079	ENSDARG00000056091	ENSDARG00000053179	ENSGT00680000099614
ENSG00000061492	ENSDARG00000078507	ENSDARG00000052910	ENSGT00690000101857
ENSG00000123983	ENSDARG00000032079	ENSDARG00000014674	ENSGT00690000102168
ENSG00000171596	ENSDARG00000003944	ENSDARG00000060884	ENSGT00700000104070
ENSG00000175662	ENSDARG00000009217	ENSDARG00000056394	ENSGT00700000104139
ENSG00000197119	ENSDARG00000057352	ENSDARG00000059052	ENSGT00700000104295
ENSG00000125447	ENSDARG00000013479	ENSDARG00000058987	ENSGT00700000104396
ENSG00000158458	ENSDARG00000086585	ENSDARG00000077818	ENSGT00710000106660
ENSG00000166558	ENSDARG00000009482	ENSDARG00000054196	ENSGT00710000106751
ENSG00000176108	ENSDARG00000021202	ENSDARG00000097451	ENSGT00720000108863
ENSG00000125753	ENSDARG00000017105	ENSDARG00000059110	ENSGT00730000110272
ENSG00000198369	ENSDARG00000052435	ENSDARG00000008372	ENSGT00730000110272
ENSG00000099804	ENSDARG00000069708	ENSDARG00000012627	ENSGT00730000110436
ENSG00000120948	ENSDARG00000040031	ENSDARG00000004452	ENSGT00730000110584
ENSG00000130477	ENSDARG00000061829	ENSDARG00000091647	ENSGT00730000110590
ENSG00000132970	ENSDARG00000062948	ENSDARG00000059466	ENSGT00730000110593
ENSG00000154118	ENSDARG00000029590	ENSDARG00000059534	ENSGT00730000110639
ENSG00000104369	ENSDARG00000058603	ENSDARG00000038826	ENSGT00730000110639
ENSG00000154721	ENSDARG00000058996	ENSDARG00000079071	ENSGT00730000110678
ENSG00000166086	ENSDARG00000061794	ENSDARG00000086037	ENSGT00730000110678
ENSG00000163820	ENSDARG00000078022	ENSDARG00000056689	ENSGT00730000110715
ENSG00000106809	ENSDARG00000031489	ENSDARG00000044132	ENSGT00730000110781
ENSG00000112715	ENSDARG00000034700	ENSDARG00000045971	ENSGT00730000110791
ENSG00000173801	ENSDARG00000059067	ENSDARG00000070787	ENSGT00730000110821
ENSG00000143375	ENSDARG00000058690	ENSDARG00000055607	ENSGT00730000110843
ENSG00000070540	ENSDARG00000037357	ENSDARG00000040657	ENSGT00730000110845
ENSG00000179604	ENSDARG00000045036	ENSDARG00000039704	ENSGT00730000110869
ENSG00000106299	ENSDARG00000014113	ENSDARG00000006283	ENSGT00730000110895
ENSG00000107897	ENSDARG00000034883	ENSDARG00000058410	ENSGT00730000110900
ENSG00000140368	ENSDARG00000060860	ENSDARG00000053568	ENSGT00730000110901
ENSG00000197822	ENSDARG00000005108	ENSDARG00000003091	ENSGT00730000110989
ENSG00000103423	ENSDARG00000058494	ENSDARG00000095983	ENSGT00730000111013
ENSG00000172209	ENSDARG00000004592	ENSDARG00000045383	ENSGT00730000111017
ENSG00000119707	ENSDARG00000039266	ENSDARG00000006395	ENSGT00730000111019
ENSG00000120451	ENSDARG00000061101	ENSDARG00000079931	ENSGT00730000111038
ENSG00000007237	ENSDARG00000088969	ENSDARG00000074443	ENSGT00730000111074
ENSG00000013297	ENSDARG00000020031	ENSDARG00000030723	ENSGT00730000111104
ENSG00000088992	ENSDARG00000028346	ENSDARG00000030839	ENSGT00730000111113
ENSG00000122786	ENSDARG00000070314	ENSDARG00000086391	ENSGT00730000111125
ENSG00000168140	ENSDARG00000076215	ENSDARG00000016293	ENSGT00730000111167
ENSG00000131016	ENSDARG00000091792	ENSDARG00000055678	ENSGT00730000111244
ENSG00000130203	ENSDARG00000086370	ENSDARG00000040295	ENSGT00730000111315
ENSG00000177354	ENSDARG00000086970	ENSDARG00000086945	ENSGT00730000111333
ENSG00000277443	ENSDARG00000008803	ENSDARG00000004049	ENSGT00730000111419
ENSG00000172350	ENSDARG00000061047	ENSDARG00000078068	ENSGT00740000114855
ENSG00000100425	ENSDARG00000013596	ENSDARG00000051798	ENSGT00740000114866
ENSG00000096070	ENSDARG00000074238	ENSDARG00000070513	ENSGT00740000114866
ENSG00000173714	ENSDARG00000059139	ENSDARG00000013460	ENSGT00740000114929
ENSG00000163590	ENSDARG00000089641	ENSDARG00000063218	ENSGT00740000114971
ENSG00000163508	ENSDARG00000019428	ENSDARG00000006640	ENSGT00740000115029
ENSG00000213889	ENSDARG00000057032	ENSDARG00000010231	ENSGT00740000115384
ENSG00000183166	ENSDARG00000088898	ENSDARG00000069766	ENSGT00740000115520
ENSG00000204882	ENSDARG00000077427	ENSDARG00000074826	ENSGT00740000115632
ENSG00000163874	ENSDARG00000005271	ENSDARG00000016062	ENSGT00750000117218
ENSG00000140564	ENSDARG00000070971	ENSDARG00000062909	ENSGT00750000117358
ENSG00000140548	ENSDARG00000014680	ENSDARG00000005549	ENSGT00750000117653
ENSG00000126603	ENSDARG00000078388	ENSDARG00000073861	ENSGT00760000118771
ENSG00000170289	ENSDARG00000061945	ENSDARG00000087082	ENSGT00760000118772
ENSG00000144191	ENSDARG00000012297	ENSDARG00000070726	ENSGT00760000118772
ENSG00000198515	ENSDARG00000012125	ENSDARG00000029898	ENSGT00760000118772
ENSG00000140015	ENSDARG00000043220	ENSDARG00000069117	ENSGT00760000118772
ENSG00000055118	ENSDARG00000029881	ENSDARG00000060053	ENSGT00760000118772
ENSG00000143630	ENSDARG00000076615	ENSDARG00000027192	ENSGT00760000118772
ENSG00000184845	ENSDARG00000038918	ENSDARG00000071640	ENSGT00760000118774
ENSG00000176204	ENSDARG00000059535	ENSDARG00000078839	ENSGT00760000118777
ENSG00000176204	ENSDARG00000077562	ENSDARG00000080015	ENSGT00760000118777
ENSG00000169562	ENSDARG00000058064	ENSDARG00000035553	ENSGT00760000118780
ENSG00000131233	ENSDARG00000069830	ENSDARG00000086453	ENSGT00760000118780
ENSG00000135355	ENSDARG00000057792	ENSDARG00000034930	ENSGT00760000118780
ENSG00000115353	ENSDARG00000016025	ENSDARG00000035533	ENSGT00760000118781
ENSG00000005884	ENSDARG00000037917	ENSDARG00000012824	ENSGT00760000118782
ENSG00000137809	ENSDARG00000007950	ENSDARG00000036086	ENSGT00760000118782
ENSG00000139679	ENSDARG00000062552	ENSDARG00000069441	ENSGT00760000118784
ENSG00000112486	ENSDARG00000038968	ENSDARG00000087474	ENSGT00760000118785
ENSG00000129048	ENSDARG00000040133	ENSDARG00000078729	ENSGT00760000118785
ENSG00000198719	ENSDARG00000020219	ENSDARG00000010791	ENSGT00760000118786
ENSG00000148204	ENSDARG00000060106	ENSDARG00000060081	ENSGT00760000118786
ENSG00000117114	ENSDARG00000087965	ENSDARG00000069356	ENSGT00760000118787
ENSG00000173698	ENSDARG00000088937	ENSDARG00000088137	ENSGT00760000118787
ENSG00000134852	ENSDARG00000011703	ENSDARG00000003631	ENSGT00760000118788
ENSG00000120907	ENSDARG00000028725	ENSDARG00000027638	ENSGT00760000118795
ENSG00000170214	ENSDARG00000041173	ENSDARG00000011317	ENSGT00760000118795
ENSG00000278195	ENSDARG00000074958	ENSDARG00000014477	ENSGT00760000118797
ENSG00000180616	ENSDARG00000069806	ENSDARG00000059090	ENSGT00760000118797
ENSG00000065361	ENSDARG00000006202	ENSDARG00000036993	ENSGT00760000118799
ENSG00000120899	ENSDARG00000022841	ENSDARG00000039577	ENSGT00760000118799
ENSG00000114812	ENSDARG00000059058	ENSDARG00000028878	ENSGT00760000118800
ENSG00000215644	ENSDARG00000036272	ENSDARG00000070973	ENSGT00760000118800
ENSG00000064547	ENSDARG00000042561	ENSDARG00000042338	ENSGT00760000118804
ENSG00000091436	ENSDARG00000006978	ENSDARG00000044615	ENSGT00760000118807
ENSG00000116194	ENSDARG00000012071	ENSDARG00000003025	ENSGT00760000118809
ENSG00000108255	ENSDARG00000041141	ENSDARG00000053875	ENSGT00760000118812
ENSG00000127377	ENSDARG00000030411	ENSDARG00000087437	ENSGT00760000118812
ENSG00000131018	ENSDARG00000009499	ENSDARG00000063068	ENSGT00760000118813
ENSG00000162733	ENSDARG00000051913	ENSDARG00000058695	ENSGT00760000118818
ENSG00000148053	ENSDARG00000059897	ENSDARG00000059645	ENSGT00760000118818
ENSG00000140538	ENSDARG00000063035	ENSDARG00000077228	ENSGT00760000118818
ENSG00000140443	ENSDARG00000034434	ENSDARG00000027423	ENSGT00760000118818
ENSG00000115041	ENSDARG00000017880	ENSDARG00000076181	ENSGT00760000118820
ENSG00000182132	ENSDARG00000034808	ENSDARG00000022109	ENSGT00760000118820
ENSG00000188828	ENSDARG00000058103	ENSDARG00000006865	ENSGT00760000118821
ENSG00000183185	ENSDARG00000027153	ENSDARG00000030750	ENSGT00760000118821
ENSG00000152767	ENSDARG00000063695	ENSDARG00000074381	ENSGT00760000118823
ENSG00000171877	ENSDARG00000079622	ENSDARG00000075942	ENSGT00760000118823
ENSG00000007314	ENSDARG00000008797	ENSDARG00000034588	ENSGT00760000118827
ENSG00000148408	ENSDARG00000021735	ENSDARG00000079295	ENSGT00760000118827
ENSG00000198216	ENSDARG00000062346	ENSDARG00000095614	ENSGT00760000118827
ENSG00000081248	ENSDARG00000042552	ENSDARG00000029457	ENSGT00760000118827
ENSG00000196557	ENSDARG00000060496	ENSDARG00000070528	ENSGT00760000118827
ENSG00000182447	ENSDARG00000001771	ENSDARG00000058960	ENSGT00760000118830
ENSG00000144810	ENSDARG00000003533	ENSDARG00000077403	ENSGT00760000118830
ENSG00000169783	ENSDARG00000035899	ENSDARG00000034165	ENSGT00760000118831
ENSG00000174482	ENSDARG00000074535	ENSDARG00000069970	ENSGT00760000118831
ENSG00000220008	ENSDARG00000067815	ENSDARG00000061970	ENSGT00760000118831
ENSG00000165379	ENSDARG00000071230	ENSDARG00000079396	ENSGT00760000118831
ENSG00000003987	ENSDARG00000037101	ENSDARG00000070412	ENSGT00760000118832
ENSG00000149257	ENSDARG00000075954	ENSDARG00000019949	ENSGT00760000118839
ENSG00000123700	ENSDARG00000038373	ENSDARG00000019418	ENSGT00760000118842
ENSG00000177301	ENSDARG00000091458	ENSDARG00000002241	ENSGT00760000118846
ENSG00000111262	ENSDARG00000062942	ENSDARG00000017108	ENSGT00760000118846
ENSG00000131398	ENSDARG00000055855	ENSDARG00000037933	ENSGT00760000118846
ENSG00000135090	ENSDARG00000060751	ENSDARG00000094052	ENSGT00760000118848
ENSG00000108861	ENSDARG00000060130	ENSDARG00000061255	ENSGT00760000118853
ENSG00000162999	ENSDARG00000040490	ENSDARG00000045200	ENSGT00760000118853
ENSG00000095539	ENSDARG00000076595	ENSDARG00000088143	ENSGT00760000118854
ENSG00000196189	ENSDARG00000062352	ENSDARG00000077103	ENSGT00760000118854
ENSG00000075213	ENSDARG00000019235	ENSDARG00000042210	ENSGT00760000118854
ENSG00000001617	ENSDARG00000055373	ENSDARG00000011163	ENSGT00760000118854
ENSG00000133816	ENSDARG00000020395	ENSDARG00000075608	ENSGT00760000118856
ENSG00000100433	ENSDARG00000062849	ENSDARG00000045956	ENSGT00760000118858
ENSG00000082482	ENSDARG00000055123	ENSDARG00000007151	ENSGT00760000118858
ENSG00000078579	ENSDARG00000007356	ENSDARG00000086070	ENSGT00760000118859
ENSG00000161958	ENSDARG00000043907	ENSDARG00000069662	ENSGT00760000118859
ENSG00000070193	ENSDARG00000067548	ENSDARG00000030932	ENSGT00760000118859
ENSG00000160007	ENSDARG00000062577	ENSDARG00000060297	ENSGT00760000118863
ENSG00000006740	ENSDARG00000010433	ENSDARG00000068008	ENSGT00760000118863
ENSG00000128805	ENSDARG00000076434	ENSDARG00000021255	ENSGT00760000118863
ENSG00000105926	ENSDARG00000056892	ENSDARG00000029761	ENSGT00760000118866
ENSG00000108852	ENSDARG00000010957	ENSDARG00000053453	ENSGT00760000118866
ENSG00000147044	ENSDARG00000059809	ENSDARG00000035103	ENSGT00760000118866
ENSG00000072415	ENSDARG00000006272	ENSDARG00000004721	ENSGT00760000118866
ENSG00000134313	ENSDARG00000017338	ENSDARG00000031240	ENSGT00760000118867
ENSG00000122692	ENSDARG00000002538	ENSDARG00000051970	ENSGT00760000118869
ENSG00000099953	ENSDARG00000026325	ENSDARG00000016718	ENSGT00760000118870
